?cls	?replCls	?consCls
<http://www.ebi.ac.uk/efo/EFO_0005409>	"http://purl.obolibrary.org/obo/OBA_0004528"	
<http://www.ebi.ac.uk/efo/EFO_0005415>	"http://purl.obolibrary.org/obo/OBA_2050075"	
<http://www.ebi.ac.uk/efo/EFO_0005416>	"http://purl.obolibrary.org/obo/OBA_2050082"	
<http://www.ebi.ac.uk/efo/EFO_0005418>	"http://purl.obolibrary.org/obo/OBA_2050060"	
<http://www.ebi.ac.uk/efo/EFO_0005421>	"http://purl.obolibrary.org/obo/OBA_2050056"	
<http://www.ebi.ac.uk/efo/EFO_0005526>	"OBA:2040030"	
<http://www.ebi.ac.uk/efo/EFO_0005655>	"OBA:2040025"	
<http://www.ebi.ac.uk/efo/EFO_0005666>	"http://purl.obolibrary.org/obo/OBA_VT0002460"	
<http://www.ebi.ac.uk/efo/EFO_0005668>	"http://purl.obolibrary.org/obo/OBA_2045280"	
<http://www.ebi.ac.uk/efo/EFO_0005671>	"http://purl.obolibrary.org/obo/OBA_2050116"	
<http://www.ebi.ac.uk/efo/EFO_0005766>	"http://purl.obolibrary.org/obo/OBA_2050203"	
<http://www.ebi.ac.uk/efo/EFO_0005842>	"http://purl.obolibrary.org/obo/MONDO_0005575"	
<http://www.ebi.ac.uk/efo/EFO_0005852>	"http://purl.obolibrary.org/obo/OBA_VT0000803"	
<http://www.ebi.ac.uk/efo/EFO_0005853>	"OBA:2040029"	
<http://www.ebi.ac.uk/efo/EFO_0005918>	"http://purl.obolibrary.org/obo/OBA_2050271"	
<http://www.ebi.ac.uk/efo/EFO_0005949>	"http://purl.obolibrary.org/obo/OBA_VT0002460"	
<http://www.ebi.ac.uk/efo/EFO_0006314>	"OBA:2040028"	
<http://www.ebi.ac.uk/efo/EFO_0006317>	"OBA:2040051"	
<http://www.ebi.ac.uk/efo/EFO_0006326>	"OBA:2040033"	
<http://www.ebi.ac.uk/efo/EFO_0006328>	"OBA:2040141"	
<http://www.ebi.ac.uk/efo/EFO_0006329>	"OBA:2040057"	
<http://www.ebi.ac.uk/efo/EFO_0006330>	"OBA:2040034"	
<http://www.ebi.ac.uk/efo/EFO_0006332>	"http://purl.obolibrary.org/obo/OBA_2050055"	
<http://www.ebi.ac.uk/efo/EFO_0006337>	"OBA:2040067"	
<http://www.ebi.ac.uk/efo/EFO_0006345>	"OBA:2040130"	
<http://www.ebi.ac.uk/efo/EFO_0006518>	"OBA:2040108"	
<http://www.ebi.ac.uk/efo/EFO_0006794>	"http://purl.obolibrary.org/obo/OBA_2045291"	
<http://www.ebi.ac.uk/efo/EFO_0006795>	"http://purl.obolibrary.org/obo/OBA_2050080"	
<http://www.ebi.ac.uk/efo/EFO_0006816>	"OBA:2040023"	
<http://www.ebi.ac.uk/efo/EFO_0006866>	"http://purl.obolibrary.org/obo/OBA_2050202"	
<http://www.ebi.ac.uk/efo/EFO_0006868>	"http://purl.obolibrary.org/obo/OBA_2050202"	
<http://www.ebi.ac.uk/efo/EFO_0006896>	"http://purl.obolibrary.org/obo/OBA_1000528"	
<http://www.ebi.ac.uk/efo/EFO_0006900>	"http://purl.obolibrary.org/obo/OBA_2050131"	
<http://www.ebi.ac.uk/efo/EFO_0006903>	"http://purl.obolibrary.org/obo/OBA_2050155"	
<http://www.ebi.ac.uk/efo/EFO_0006904>	"OBA:2040005"	
