?cls	?def	?xrefs
<http://www.ebi.ac.uk/efo/EFO_0022119>	"Quantification of the amount of X-14568 in a sample."	"PMID:35050183"
<http://purl.obolibrary.org/obo/PR_000001318>	"A protein that is a translation product of the human SELL gene or a 1:1 ortholog thereof. It is a leukocyte adhesion receptor that play an important role in regulating the inflammatory response by mediating leukocyte tethering and rolling on adherent leukocytes."	"PIRSF:PIRSF002421"
<http://purl.obolibrary.org/obo/CHEBI_63924>	"A macrodiolide that is 13,19-didehydrosenecionan bearing two additional hydroxy substituents at positions 12 and 18 as well as two additional oxo groups at positions 11 and 16."	"CiteXplore:21976715 MESH:C013672 pubmed:18842697 pubmed:14580895 pubmed:21170807 wikipedia.en:Riddelliine CiteXplore:14580895 pubmed:20737008 pubmed:20078085 NIST Chemistry WebBook:23246-96-0 CiteXplore:12140173 CiteXplore:18842697 pubmed:3507253 pubmed:1949039 CiteXplore:21170807 pubmed:21822322 pubmed:11170513 pubmed:2083039 CiteXplore:20078085 pubmed:12140173 CiteXplore:20737008 CiteXplore:11170513 CiteXplore:1949039 CiteXplore:21822322 reaxys:1042830 CiteXplore:2083039 kegg.compound:C10375 CiteXplore:19412857 Reaxys:1042830 ChemIDplus:23246-96-0 pubmed:19412857 knapsack:C00002110 pubmed:21976715 cas:23246-96-0 CiteXplore:3507253"
<http://purl.obolibrary.org/obo/MONDO_0016946>		
<http://purl.obolibrary.org/obo/MONDO_0014564>	"Any congenital bile acid synthesis defect in which the cause of the disease is a mutation in the ABCD3 gene."	"MEDGEN:904751 GARD:0025002 OMIM:616278 DOID:0111066 UMLS:C4225390"
<http://purl.obolibrary.org/obo/PR_Q99593>	"A T-box transcription factor TBX5 that is encoded in the genome of human."	"UniProtKB:Q99593 Reactome:R-HSA-2032786"
<http://www.ebi.ac.uk/efo/EFO_0006804>	"An immune response to foreign (donor) antigens."	"NCIt:C6527 MedDRA:10054308"
<http://purl.obolibrary.org/obo/PR_000019168>	"A complement C1r subcomponent that has had the signal peptide removed."	
<http://www.orpha.net/ORDO/Orphanet_676>		
<http://purl.obolibrary.org/obo/OBA_2044889>	"The amount of a type III endosome membrane protein TEMP when measured in blood serum."	
<http://purl.obolibrary.org/obo/PR_000016299>		
<http://purl.obolibrary.org/obo/PR_Q9BQ08>	"A resistin-like beta that is encoded in the genome of human."	"UniProtKB:Q9BQ08"
<http://www.ebi.ac.uk/efo/EFO_0803009>	"Quantification of retbindin in a sample."	"uniprot:Q9BSG5 PMID:29875488"
<http://purl.obolibrary.org/obo/MONDO_0009876>	"An isolated growth hormone deficiency characterized by autosomal recessive inheritance of severe dwarfism with onset by 6 months of age and variable development of antibodies to growth hormone following exogenous supplementation that has material basis in null mutations in the GH1 gene on chromosome 17q23.3."	"Orphanet:231662 MEDGEN:90986 SCTID:237837007 MESH:C537404 DOID:0060873 OMIM:262400 GARD:0007399 UMLS:C0342573 ICD9:259.4"
<http://purl.obolibrary.org/obo/PR_Q96BZ9>	"A TBC1 domain family member 20 that is encoded in the genome of human."	"UniProtKB:Q96BZ9 Reactome:R-HSA-6814813"
<http://www.orpha.net/ORDO/Orphanet_93405>		
<http://purl.obolibrary.org/obo/OBA_2058893>	"The amount of a nectin-1 (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://www.ebi.ac.uk/efo/EFO_1000458>	"An adenocarcinoma with serous acinar cell differentiation that arises from the parotid gland. Patients usually present with a slow growing mass in the parotid area."	"UMLS:C1335353 EFO:1000458 NCIT:C5933"
<http://purl.obolibrary.org/obo/PR_000009391>	"A protein that is a translation product of the human KLHL3 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/UBERON_0003729>	"A mucous membrane that lines the mouth."	"EMAPA:26937 BTO:0002860 NCIT:C77637 UMLS:C0026639 Wikipedia:Oral_mucosa MESH:D009061 MA:0002794 GAID:951 CALOHA:TS-0716 FMA:59660"
<http://www.ebi.ac.uk/efo/EFO_0000674>		
<http://purl.obolibrary.org/obo/MONDO_0001341>	"A dysgammaglobulinemia characterized by low or undetectable serum levels of immunoglobulin class A (IgA). It is the most common primary antibody deficiency. It may be inherited or the reversible sequela of infection or certain drugs. It may be caused by decreased or inefficient class-switching from progenitor B cells without any corresponding decreases in the other isotypes. Though affected persons may be asymptomatic, low levels of IgA will reduce the immune system's ability to combat infection where IgA is normally secreted, at mucosal surfaces. Selective IgA deficiency is seen in greater proportion among patients with autoimmune disorders."	"EFO:1001929 Orphanet:69127 SCTID:29260007 DOID:0060025 NCIT:C26964 UMLS:C4049006 GARD:0027574 MEDGEN:883982 NANDO:2200720 DOID:11701 NANDO:1200347 MESH:D017098"
<http://purl.obolibrary.org/obo/OBA_2055013>	"A compound attribute that is the ratio of amount of lymphocyte-specific protein 1 (human) in blood to amount of paxillin (human) in blood."	"PMID:38412862"
<http://purl.obolibrary.org/obo/NCBITaxon_3818>		"MESH:D010367 NCIt:C72071 SNOMEDCT:75413007"
<http://www.ebi.ac.uk/efo/EFO_0800272>	"Quantification of the amount of 1-palmitoyl-2-linoleoyl-GPE (16:0/18:2) in a sample."	"PMID:35347128"
<http://purl.obolibrary.org/obo/OBA_2056590>	"The amount of a ornithine transcarbamylase, mitochondrial (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/PR_000062290>	"A cytotoxic and regulatory T-cell molecule (human) that has had the signal peptide removed. Example: UniProtKB:O95727-1, 18-393."	"Reactome:R-HSA-198163"
<http://purl.obolibrary.org/obo/OBA_2056431>	"The amount of a CCN family member 5 (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/FBbt_00016016>	"Larval unpaired primary neuron with its cell body found along the midline of the nervous system (Fontana and Crews, 2012). There are around 18 of these per segment in the late embryo, which are derived from midline precursors (MP1-6) or the median neuroblast (MNB) (Fontana and Crews, 2012). Two sets of neurons can be distinguished; ventral neurons (including MP3 and VUM neurons) and medial neurons (including MP1 and MNB descendants) (Kearney et al., 2004)."	"VFB:FBbt_00016016"
<http://purl.obolibrary.org/obo/MONDO_0800399>	"An autosomal dominant retinopathy caused by variants in the RP1 gene."	"GARD:0026549"
<http://www.ebi.ac.uk/efo/EFO_0802888>	"Quantification of potassium voltage-gated channel subfamily A member 10 in a sample."	"uniprot:Q16322 PMID:29875488"
<http://purl.obolibrary.org/obo/MONDO_0018066>	"Trisomy X is a sex chromosome anomaly with a variable phenotype caused by the presence of an extra X chromosome in females (47,XXX instead of 46,XX)."	"MESH:C535318 NCIT:C129718 Orphanet:3375 MEDGEN:113140 icd11.foundation:423644907 UMLS:C0221033 NORD:1798 SCTID:35111009 GARD:0005672"
<http://www.ebi.ac.uk/efo/EFO_0001930>	"The inner of the two layers of the blastoderm that forms during gastrulation and give rise to the definitive mesoderm and endoderm. Kimmel et al, 1995."	"TAO:0000117 ZFA:0000117 NCIt:C34190"
<http://purl.obolibrary.org/obo/OBA_2042628>	"The amount of a nuclear receptor subfamily 1 group D member 2 when measured in blood serum."	
<http://www.orpha.net/ORDO/Orphanet_675>		
<http://purl.obolibrary.org/obo/OBA_2040476>	"The amount of a acid-sensing ion channel 4 when measured in blood serum."	
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11762>	"A protein coding gene TFR2 in human."	
<http://purl.obolibrary.org/obo/OBI_0000181>	"A population is a group of material entities consisting of individuals which share a particular characteristic such as inhabiting a particular region or area or ability to interbreed."	"NIFSTD:sao2254405550 MESH:D011153 SNOMEDCT:385436007"
<http://www.orpha.net/ORDO/Orphanet_3008>	"Pyruvate carboxylase (PC) deficiency is a rare neurometabolic disorder characterized by metabolic acidosis, failure to thrive, developmental delay, and recurrent seizures at an early age in severely affected patients."	"ICD10:E74.4 UMLS:C0034341 MedDRA:10077944 OMIM:266150 MESH:D015324"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=18731>	"A protein coding gene PDCD1LG2 in human."	
<http://purl.obolibrary.org/obo/PR_Q9Y4K4>	"A mitogen-activated protein kinase kinase kinase kinase 5 that is encoded in the genome of human."	"UniProtKB:Q9Y4K4 DTO:03100297"
<http://purl.obolibrary.org/obo/MONDO_0007839>	"Aase-Smith syndrome type I is a very rare genetic disorder characterized by the following congenital malformations: hydrocephalus (due to Dandy-Walker anomaly), cleft palate, and severe joint contractures."	"MEDGEN:66316 SCTID:718576001 UMLS:C0220686 MESH:C535332 Orphanet:916 MedDRA:10063429 GARD:0005642 OMIM:147800"
<http://www.ebi.ac.uk/efo/EFO_0801128>	"Quantification of the amount of C3-DC-CH3 carnitine in a sample."	"PMID:35995766"
<http://purl.obolibrary.org/obo/MONDO_0100259>	"Any Zellweger spectrum disorder in which the cause of the disease is a mutation in the PEX1 gene."	"OMIM:234580 GARD:0026101"
<http://purl.obolibrary.org/obo/PR_Q969E1>	"A liver-expressed antimicrobial peptide 2 that is encoded in the genome of human."	"UniProtKB:Q969E1"
<http://www.orpha.net/ORDO/Orphanet_93404>		
<http://purl.obolibrary.org/obo/OBA_2051179>	"The amount of a caspase-1 when measured in blood."	"PMID:37794183"
<http://purl.obolibrary.org/obo/OBA_2044628>	"The amount of a pleckstrin homology domain-containing family B member 1 when measured in blood serum."	
<http://purl.obolibrary.org/obo/OBA_2055639>	"A compound attribute that is the ratio of amount of seizure 6-like protein (human) in blood to amount of seizure 6-like protein 2 (human) in blood."	"PMID:38412862"
<http://www.ebi.ac.uk/efo/EFO_0001420>	"Systemic disease associated with the presence of pathogenic microorganisms or their toxins in the blood."	"ICD9:995.91 SNOMEDCT:91302008 NCIt:C3364 NCIt:C111915 MESH:D018805"
<http://purl.obolibrary.org/obo/OBA_2050859>	"The amount of a Ras-related protein Rab-2B when measured in blood."	"PMID:37794183"
<http://purl.obolibrary.org/obo/OBA_2057523>	"The amount of a beta-crystallin B3 (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/PR_O95711>	"A lymphocyte antigen 86 that is encoded in the genome of human."	"UniProtKB:O95711"
<http://www.orpha.net/ORDO/Orphanet_674>		
<http://purl.obolibrary.org/obo/PR_000048834>	"An inactive pancreatic lipase-related protein 1 (human) that has had the signal peptide removed. UniProtKB:P54315, 18-467."	"Reactome:R-HSA-3902876"
<http://purl.obolibrary.org/obo/HP_0030972>	"A chronic deviation from normal pressure in the systemic arterial system."	
<http://purl.obolibrary.org/obo/PR_Q5H9J7>	"A protein BEX5 that is encoded in the genome of human."	"UniProtKB:Q5H9J7"
<http://purl.obolibrary.org/obo/OBA_2053872>	"A compound attribute that is the ratio of amount of collagen alpha-3(VI) chain (human) in blood to amount of collectin-12 (human) in blood."	"PMID:38412862"
<http://www.orpha.net/ORDO/Orphanet_93403>		"MESH:C538153 UMLS:C2699746 OMIM:186000 ICD10:Q70.0 OMIM:610234 OMIM:608180 ICD10:Q70.2"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=21591>	"A protein coding gene TAFA4 in human."	
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=26125>	"A protein coding gene SPATA20 in human."	
<http://www.orpha.net/ORDO/Orphanet_97363>		
<http://purl.obolibrary.org/obo/HANCESTRO_0797>	"A population made up of 2 samples from Pathan individuals recruited in Pakistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian."	
<http://purl.obolibrary.org/obo/HP_0000474>	"A thickening of the skin thickness in the posterior aspect of the fetal neck. A nuchal fold (NF) measurement is obtained in a transverse section of the fetal head at the level of the cavum septum pellucidum and thalami, angled posteriorly to include the cerebellum. The measurement is taken from the outer edge of the occiput bone to the outer skin limit directly in the midline. An NF measurement greater than 5 mm at 14 to 17+6 weeks of gestation, or 6 mm at 18 to 28 weeks has been associated with a markedly increased risk for Down syndrome."	"UMLS:C1836940"
<http://www.ebi.ac.uk/efo/EFO_0800890>	"Quantification of the amount of X-24518 in a sample."	"PMID:35347128"
<http://www.orpha.net/ORDO/Orphanet_289290>		"ICD10:E72.1 OMIM:614300"
<http://www.ebi.ac.uk/efo/EFO_0022862>	"A chronic pain phenotype that originates in the neck"	
<http://purl.obolibrary.org/obo/CHEBI_64123>	"A hydrobromide obtained by reaction of NAN 190 with one equivalent of hydrobromic acid."	"reaxys:4775818 cas:115338-32-4 ChemIDplus:115338-32-4 Reaxys:4775818 ChEMBL:805692"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=17824>	"A protein coding gene PLAAT2 in human."	
<http://purl.obolibrary.org/obo/PR_000063653>	"A butyrophilin subfamily 3 member A1 (human) that has had the signal peptide removed. Example: UniProtKB:O00481-1, 30-513."	"Reactome:R-HSA-8851049"
<http://purl.obolibrary.org/obo/OBA_2054821>	"A compound attribute that is the ratio of amount of carbonic anhydrase 4 (human) in blood to amount of tumor necrosis factor ligand superfamily member 12 (human) in blood."	"PMID:38412862"
<http://purl.obolibrary.org/obo/OBA_2081164>	"The amount of a serine protease inhibitor Kazal-type 5 (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/AfPO_0000300>	"A Bantu Central population with a population size of 4.6 milions"	
<http://purl.obolibrary.org/obo/OBA_2058255>	"The amount of a destrin (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://www.orpha.net/ORDO/Orphanet_276267>	"Xeroderma pigmentosum complementation group G (XPG) is an extremely rare subtype of xeroderma pigmentosum (XP; see this term), a rare photodermatosis predisposing to skin cancers."	"ICD10:Q82.1 OMIM:278780"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=20980>	"A protein coding gene LRRN1 in human."	
<http://www.orpha.net/ORDO/Orphanet_2763>		
<http://www.ebi.ac.uk/efo/EFO_0000270>	"A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL)."	"OMIM:608584 SNOMEDCT:195967001 OMIM:611960 OMIM:607277 MedDRA:10003553 ICD9:493 MedDRA:10003562 OMIM:600807 ICD10:J45 MESH:D001249 OMIM:611064 DOID:2841 MedDRA:10003561 MedDRA:10003563 NCIt:C28397"
<http://www.ebi.ac.uk/efo/EFO_0007253>	"A Nematoda infectious disease that involves infection by parasitic worms of the class Enoplea, characterized by no body annules, no elaborate amphids, and five or more esophageal glands."	"MESH:D017189 DOID:1253"
<http://purl.obolibrary.org/obo/MONDO_0800373>	"A poisoning that is caused by exposure to carbon monoxide."	
<http://www.orpha.net/ORDO/Orphanet_3057>	"Monoamine oxidase-A deficiency is a very rare recessive X-linked biogenic amine metabolism disorder characterized clinically by mild intellectual deficit, impulsive aggressiveness, and sometimes violent behavior and presenting from childhood."	"OMIM:300615 ICD10:E70.8"
<http://purl.obolibrary.org/obo/OBA_2040034>	"A trait that affects the response to a stimulus with buspirone."	
<http://www.ebi.ac.uk/efo/EFO_0000677>		"DOID:2468 ICD10:F99 NIFSTD:birnlex_12669 ICD9:290-299.99 SNOMEDCT:5464005 MedDRA:10004204 MESH:D011618 SNOMEDCT:74732009 MESH:D001523 NCIt:C2893 MedDRA:10013190 DOID:150 MedDRA:10061284 SNOMEDCT:69322001"
<http://purl.obolibrary.org/obo/OBA_2042003>	"The amount of a interleukin-17 receptor D when measured in blood serum."	
<http://www.orpha.net/ORDO/Orphanet_93402>		
<http://purl.obolibrary.org/obo/MONDO_0009821>	"Generalized osteosclerosis with periosteal bone formation, characteristic facial dysmorphism, brain abnormalities including intracerebral calcifications, and neonatal lethal course."	"UMLS:C1850106 MESH:C564916 MEDGEN:342416 OMIM:259660 icd11.foundation:1306493470 MESH:C535282 Orphanet:1832 GARD:0000282 OMIM:259775"
<http://purl.obolibrary.org/obo/PR_Q00169>	"A phosphatidylinositol transfer protein alpha isoform that is encoded in the genome of human."	"UniProtKB:Q00169"
<http://purl.obolibrary.org/obo/PR_000061466>	"An immunoglobulin J chain (human) that has had the signal peptide removed. UniProtKB:P01591, 23-159."	"Reactome:R-HSA-8858030"
<http://www.ebi.ac.uk/efo/EFO_0021134>	"Quantification of the amount of ADpSGEGDFXAEGGGVR in a sample."	"PMID:24816252"
<http://purl.obolibrary.org/obo/OBA_2044357>	"The amount of a SAM domain-containing protein SAMSN-1 when measured in blood serum."	
<http://purl.obolibrary.org/obo/OBA_2040041>	"A trait that affects the response to a stimulus with fatty acid."	
<http://purl.obolibrary.org/obo/MONDO_0006609>	"Excessive shedding of dry scaly material from the scalp in humans."	"ICD9:690.11 ICD10CM:L21.1 DOID:8941"
<http://purl.obolibrary.org/obo/MONDO_0011090>	"Isolated hereditary congenital facial paralysis (IHCFP) is an extremely rare neurological disorder presumed to result from maldevelopment of the facial nucleus and/or cranial nerve and has been reported in fewer than 10 families to date. It manifests as non-progressive, isolated, unilateral or bilateral, symmetrical or asymmetrical facial palsy. Involvement of the branches of the facial nerve can be unequal."	"MEDGEN:1381843 SCTID:733091002 UMLS:C4518577 OMIMPS:601471 MESH:C563309 GARD:0008583 Orphanet:306527"
<http://purl.obolibrary.org/obo/MONDO_0016942>		"Orphanet:262725 UMLS:C5679722 MEDGEN:1826044"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=11841>	"A protein coding gene TLK1 in human."	
<http://purl.obolibrary.org/obo/MONDO_0015625>	"Diazoxide-resistant diffuse hyperinsulism (DRDH) is a form of Diazoxide resistant hyperinsulinism characterized by recurrent episodes of profound hypoglycemia caused by an excessive/ uncontrolled insulin secretion (inappropriate for the level of glycemia) due to diffuse involvement of pancreas that is unresponsive to medical treatment with diazoxide, often necessitating near total/total pancreatectomy."	"MEDGEN:1843355 Orphanet:165988 UMLS:C5679569 GARD:0020068"
<http://www.ebi.ac.uk/efo/EFO_0007894>	"quantification in a sample (eg blood) of beta-carotene, an organic, strongly colored red-orange pigment abundant in plants and fruits. Among the carotenes, β-carotene is distinguished by having beta-rings at both ends of the molecule. β-Carotene is biosynthesized from geranylgeranyl pyrophosphate."	
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=6246>	"A protein coding gene KCNF1 in human."	
<http://purl.obolibrary.org/obo/PR_O43623>	"A zinc finger protein SNAI2 that is encoded in the genome of human."	"UniProtKB:O43623 Reactome:R-HSA-2980898"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=19232>	"A protein coding gene CXCL17 in human."	
<http://purl.obolibrary.org/obo/PR_000019412>	"A collagen alpha-1(VIII) chain that has been processed by proteolytic cleavage."	
<http://www.ebi.ac.uk/efo/EFO_0008348>	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a randibizumab stimulus. Randibizumab is a monoclonal antibody fragment used to treat the \"wet\" type of age-related macular degeneration."	
<http://www.ebi.ac.uk/efo/EFO_0009003>		"DOID:1414 MedDRA:10033141 ICD10:E28 MedDRA:10033142 MedDRA:10033143"
<http://purl.obolibrary.org/obo/PR_P35219>	"A carbonic anhydrase-related protein that is encoded in the genome of human."	"UniProtKB:P35219"
<http://purl.obolibrary.org/obo/MONDO_0019120>	"Pili bifurcati is an uncommon transitory hair shaft dysplasia characterized by segmental duplication of the hair shaft: a ramification generates two parallel branches which fuse to form a single shaft again. Each branch is covered by its own cuticle."	"SCTID:717360009 GARD:0018703 UMLS:C5574653 Orphanet:720 MEDGEN:1812698 icd11.foundation:674923489"
<http://www.orpha.net/ORDO/Orphanet_2762>		
<http://purl.obolibrary.org/obo/HP_0100508>	"An anomaly in the metabolism of a vitamin."	"UMLS:C4022036"
<http://purl.obolibrary.org/obo/PR_000024649>	"An alkaline phosphatase that has had the signal peptide removed."	
<http://purl.obolibrary.org/obo/CHEBI_17562>	"A pyrimidine nucleoside in which cytosine is attached to ribofuranose via a β-<em>N</em><small><sup>1</small></sup>-glycosidic bond."	"pubmed:12591866 kegg.drug:D07769 drugbank:DB02097 wikipedia.en:Cytidine pubmed:19194376 kegg.compound:C00475 metacyc.compound:CYTIDINE pdb-ccd:CTN cas:65-46-3 hmdb:HMDB0000089 pubmed:15621516 reaxys:89173 gmelin:84763"
<http://www.ebi.ac.uk/efo/EFO_1001757>	"The extension of endometrial tissue (ENDOMETRIUM) into the MYOMETRIUM. It usually occurs in women in their reproductive years and may result in a diffusely enlarged uterus with ectopic and benign endometrial glands and stroma."	"OMIM:600458 MedDRA:10056268 NCIt:C6996 MESH:D062788"
<http://www.ebi.ac.uk/efo/EFO_0803395>	"Quantification of 5-hydroxytryptophan in blood plasma."	"KEGG COMPOUND:C01017 HMDB:0000472"
<http://purl.obolibrary.org/obo/MONDO_0020428>		"MEDGEN:576645 GARD:0019647 NANDO:2100090 Orphanet:99095 SCTID:204312002 UMLS:C0344947 icd11.foundation:1370033158 NANDO:2200274"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=13919>	"A protein coding gene BAG6 in human."	
<http://purl.obolibrary.org/obo/PR_000018591>	"A platelet glycoprotein Ib alpha chain that has been processed by proteolytic cleavage."	
<http://purl.obolibrary.org/obo/PR_000048949>	"A focal adhesion kinase 1 (human) that has had the initiator methionine removed. UniProtKB:Q05397, 2-1052."	"Reactome:R-HSA-201621"
<http://www.ebi.ac.uk/efo/EFO_0004718>	"An imprecise term referring to dementia associated with CEREBROVASCULAR DISORDERS, including CEREBRAL INFARCTION (single or multiple), and conditions associated with chronic BRAIN ISCHEMIA. Diffuse, cortical, and subcortical subtypes have been described. (From Gerontol Geriatr 1998 Feb;31(1):36-44)"	"MedDRA:10047056 MedDRA:10057678 MedDRA:10047057 MedDRA:10047058 MedDRA:10047055"
<http://purl.obolibrary.org/obo/MONDO_0016941>		"icd11.foundation:1245616284 Orphanet:262716 UMLS:C5679719 MEDGEN:1826041"
<http://purl.obolibrary.org/obo/PR_Q9NYJ7>	"A delta-like protein 3 that is encoded in the genome of human."	"UniProtKB:Q9NYJ7"
<http://www.ebi.ac.uk/efo/EFO_0005413>	"quantification of the level of joint damage, eg through radiological analysis"	
<http://purl.obolibrary.org/obo/OBA_2041204>	"The amount of a CWF19-like protein 1 when measured in blood serum."	
<http://purl.obolibrary.org/obo/PR_P61218>	"A DNA-directed RNA polymerases I, II, and III subunit RPABC2 that is encoded in the genome of human."	"UniProtKB:P61218"
<http://www.orpha.net/ORDO/Orphanet_93400>		"ICD10:E77.1"
<http://purl.obolibrary.org/obo/MONDO_0010038>	"Growth delay due to IGF-I resistance is characterized by variable intrauterine and postnatal growth retardation and elevated serum IGF-I levels. Addition features include variable degrees of intellectual deficit, microcephaly and dysmorphism (broad nasal bridge and tip, smooth philtrum, thin upper and everted lower lips, short fingers, clinodactyly, wide-set nipples and pectus excavatum)."	"Orphanet:73273 GARD:0010609 OMIM:270450 MEDGEN:338622 NANDO:2200320 UMLS:C1849157 icd11.foundation:272435490 MESH:C564816 SCTID:715625007"
<http://purl.obolibrary.org/obo/NCBITaxon_40296>		
<http://purl.obolibrary.org/obo/MONDO_0002141>	"An undifferentiated pleomorphic sarcoma arising from the skin. It is characterized by the presence of spindle cells in a storiform pattern and histiocytes with abundant cytoplasm."	"MEDGEN:224813 SCTID:404014008 DOID:1906 icd11.foundation:361875781 NCIT:C5576 GARD:0023075 UMLS:C1275254 ICD9:171.9"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=5988>	"A protein coding gene IL18R1 in human."	
<http://purl.obolibrary.org/obo/MONDO_0005407>	"An eosinophilic esophagitis that starts in childhood."	"GARD:0024180"
<http://purl.obolibrary.org/obo/PR_Q8NFY4>	"A semaphorin-6D that is encoded in the genome of human."	"UniProtKB:Q8NFY4"
<http://purl.obolibrary.org/obo/MONDO_0019455>	"An acute myeloid leukemia characterized by bone marrow fibrosis without preexisting primary myelofibrosis."	"ICD10CM:C94.4 icd11.foundation:1831346835 NCIT:C4344 ONCOTREE:APMF MEDGEN:87279 ICDO:9931/3 Orphanet:86843 ICD9:289.89 MedDRA:10000879 UMLS:C0334674 SCTID:109991003 GARD:0011907 icd11.foundation:585339631"
<http://purl.obolibrary.org/obo/MONDO_0024389>		"MEDGEN:678527 UMLS:C0854328 ICD9:041.84 SCTID:423451008"
<http://www.orpha.net/ORDO/Orphanet_679>		
<http://purl.obolibrary.org/obo/PR_000013586>	"A protein that is a translation product of the human RAB14 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/GO_0043484>	"Any process that modulates the frequency, rate or extent of RNA splicing, the process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA."	
<http://www.ebi.ac.uk/efo/EFO_0004471>	"An insulin sensitivity measurement is a measurement of insulin metabolism, which can be measured in a number of ways, for example using the HOMA model or via a glucose tolerance test."	
<http://purl.obolibrary.org/obo/OBA_2043788>	"The amount of a TBC1 domain family member 5 when measured in blood serum."	
<http://purl.obolibrary.org/obo/PR_000046727>	"A creatine kinase B-type (human) that has had the initiator methionine removed. UniProtKB:P12277, 2-381."	"TDR:7319 Reactome:R-HSA-200355"
<http://www.ebi.ac.uk/efo/EFO_0800887>	"Quantification of the amount of X-24473 in a sample."	"PMID:35347128"
<http://purl.obolibrary.org/obo/MONDO_0020429>		"UMLS:C0344697 SCTID:274947007 ICD9:746.89 Orphanet:99098 HP:0011566 GARD:0012483 MEDGEN:488867 icd11.foundation:294192583"
<http://purl.obolibrary.org/obo/OBA_2042098>	"The amount of a kinesin-like protein KIF22 when measured in blood serum."	
<http://purl.obolibrary.org/obo/OBA_2042324>	"The amount of a methyl-CpG-binding protein 2 when measured in blood serum."	
<http://www.ebi.ac.uk/efo/EFO_0008733>	"Emulsion Whole-Genome Amplification"	"PMID:26340991"
<http://purl.obolibrary.org/obo/OBA_2080467>	"The amount of a kinesin-like protein KIF16B (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://www.genenames.org/cgi-bin/gene_symbol_report?hgnc_id=7125>	"A protein coding gene MLF1 in human."	
<http://purl.obolibrary.org/obo/MONDO_0015349>	"Progressive cavitating leukoencephalopathy is characterized by acute episodes of neurological deficit (ataxia, dysarthria, seizures) with irritability and opisthotonus followed by either steady deterioration or alternating periods of rapid progression and prolonged periods of stability."	"GARD:0019918 icd11.foundation:340540374 Orphanet:139447 MEDGEN:930509 SCTID:719267003 UMLS:C4304840"
<http://purl.obolibrary.org/obo/GO_0120060>	"Any process that modulates the frequency, rate or extent of any gastric emptying process, the process in which the liquid and liquid-suspended solid contents of the stomach exit through the pylorus into the duodenum."	
<http://purl.obolibrary.org/obo/OBA_2040436>	"The amount of a collagen alpha-1(III) chain when measured in blood serum."	
<http://purl.obolibrary.org/obo/PR_000007554>	"A protein that is a translation product of the human FLII gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/OBA_2053879>	"A compound attribute that is the ratio of amount of lymphocyte antigen 96 (human) in blood to amount of beta-galactoside alpha-2,6-sialyltransferase 1 (human) in blood."	"PMID:38412862"
<http://purl.obolibrary.org/obo/OBA_2058838>	"The amount of a caspase-8 (human) when measured in cerebrospinal fluid."	"PMID:39528825"
<http://purl.obolibrary.org/obo/MONDO_0017040>		"Orphanet:264984"
<http://www.ebi.ac.uk/efo/EFO_0801053>	"Quantification of the amount of 5-hydroxymethyl-2-furoylcarnitine in a sample."	"PMID:35347128"
<http://purl.obolibrary.org/obo/PR_000006068>	"A protein that is a translation product of the human CXCL14 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/NCBITaxon_7776>		
<http://www.ebi.ac.uk/efo/EFO_0802066>	"Quantification of sialic acid-binding Ig-like lectin 12 in a sample."	"uniprot:Q96PQ1 PMID:29875488"
