?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/MONDO_0015921>	"http://www.ebi.ac.uk/efo/EFO_0700044"	
<http://purl.obolibrary.org/obo/MONDO_0015930>		
<http://purl.obolibrary.org/obo/MONDO_0015950>		
<http://purl.obolibrary.org/obo/MONDO_0015953>		"MONDO:0005071"
<http://purl.obolibrary.org/obo/MONDO_0015961>		
<http://purl.obolibrary.org/obo/MONDO_0015965>		
<http://purl.obolibrary.org/obo/MONDO_0015968>		
<http://purl.obolibrary.org/obo/MONDO_0015970>		
<http://purl.obolibrary.org/obo/MONDO_0015975>		
<http://purl.obolibrary.org/obo/MONDO_0015976>		
<http://purl.obolibrary.org/obo/MONDO_0015979>		"MONDO:0020573"
<http://purl.obolibrary.org/obo/MONDO_0015985>		
<http://purl.obolibrary.org/obo/MONDO_0015989>	"MONDO:0010753"	
<http://purl.obolibrary.org/obo/MONDO_0016021>	"MONDO:0100062"	
<http://purl.obolibrary.org/obo/MONDO_0016054>	"http://www.ebi.ac.uk/efo/EFO_0700045"	
<http://purl.obolibrary.org/obo/MONDO_0016072>		
<http://purl.obolibrary.org/obo/MONDO_0016109>		
<http://purl.obolibrary.org/obo/MONDO_0016110>		
<http://purl.obolibrary.org/obo/MONDO_0016114>		
<http://purl.obolibrary.org/obo/MONDO_0016115>		
<http://purl.obolibrary.org/obo/MONDO_0016116>		
<http://purl.obolibrary.org/obo/MONDO_0016117>		
<http://purl.obolibrary.org/obo/MONDO_0016118>		
<http://purl.obolibrary.org/obo/MONDO_0016121>	"http://www.ebi.ac.uk/efo/EFO_0700046"	
<http://purl.obolibrary.org/obo/MONDO_0016132>		
<http://purl.obolibrary.org/obo/MONDO_0016133>		
<http://purl.obolibrary.org/obo/MONDO_0016134>		
<http://purl.obolibrary.org/obo/MONDO_0016135>		
<http://purl.obolibrary.org/obo/MONDO_0016137>		"MONDO:0015923"
<http://purl.obolibrary.org/obo/MONDO_0016149>	"http://www.ebi.ac.uk/efo/EFO_0700047"	
<http://purl.obolibrary.org/obo/MONDO_0016150>		
<http://purl.obolibrary.org/obo/MONDO_0016152>	"http://www.ebi.ac.uk/efo/EFO_0700048"	
<http://purl.obolibrary.org/obo/MONDO_0016154>	"http://www.ebi.ac.uk/efo/EFO_0700049"	
<http://purl.obolibrary.org/obo/MONDO_0016157>		
<http://purl.obolibrary.org/obo/MONDO_0016169>	"http://www.ebi.ac.uk/efo/EFO_0700050"	
<http://purl.obolibrary.org/obo/MONDO_0016170>		
<http://purl.obolibrary.org/obo/MONDO_0016182>		
