EFO:0009070	intellectual developmental disorder with dysmorphic facies and ptosis
EFO:0009071	malignant hyperthermia, susceptibility to, 1
EFO:0009072	mbd5 associated neurodevelopmental disorder
EFO:0009073	methylmalonic aciduria (cobalamin deficiency) cblA type
EFO:0009074	methylmalonic aciduria cblb type
EFO:0009075	neuropathy, hereditary motor and sensory, type vib
EFO:0009076	nonsyndromic deafness
EFO:0009077	premature chromatid separation trait
EFO:0009078	stag1-related disorder
EFO:0009079	white-sutton syndrome
EFO:0009080	x-linked ichthyosis with steryl-sulfatase deficiency
EFO:0009084	Endarteritis
EFO:0009085	arterial occlusive disease
EFO:0009086	arteriosclerosis
EFO:1000119	Benign Salivary Gland Myoepithelioma
EFO:1000141	Brain Stem Glioblastoma
EFO:1000462	Parotid Gland Pleomorphic Adenoma
EFO:1000488	Polar Spongioblastoma
EFO:1000518	Salivary Gland Pleomorphic Adenoma
EFO:1000642	hemochromatosis
EFO:1000673	bullous skin disease
EFO:1000697	exanthem
EFO:1000806	angiomyoma
EFO:1000836	benign monoclonal gammopathy
EFO:1000861	cervical rib syndrome
EFO:1000886	cutaneous mastocytosis
EFO:1000947	gastric outlet obstruction
EFO:1001176	sensorineural hearing loss
EFO:1001197	subependymal glioma
EFO:1001229	urticaria pigmentosa
EFO:1001253	maculopapular eruption
EFO:1001255	spontaneous abortion
EFO:1001257	acute erythroblastic leukemia
EFO:1001258	Adenomatosis, Pulmonary
EFO:1001259	Adenoviridae Infections
EFO:1001261	Alien Hand Syndrome
EFO:1001262	Alternariosis
EFO:1001263	amniotic fluid embolism
EFO:1001265	Aneurysm, False
EFO:1001268	Aortic Rupture
EFO:1001269	Arbovirus Infections
EFO:1001270	Arterio-Arterial Fistula
EFO:1001275	Bordetella Infections
EFO:1001276	Brain Stem Hemorrhage, Traumatic
EFO:1001277	Branchioma
EFO:1001278	Brown-Pearce carcinoma
EFO:1001280	Burkholderia Infections
EFO:1001282	Candidemia
EFO:1001283	Candidiasis, Invasive
EFO:1001287	Cestode Infections
EFO:1001288	Chlamydiaceae Infections
EFO:1001289	Cholecystitis, Acute
EFO:1001291	ciguatera poisoning
EFO:1001292	Circoviridae Infections
EFO:1001296	colon diverticulum
EFO:1001297	Coronary-Subclavian Steal Syndrome
EFO:1001299	Crush Syndrome
EFO:1001301	Cubital Tunnel Syndrome
EFO:1001303	Deltaretrovirus Infections
EFO:1001305	Dermatitis, Perioral
EFO:1001308	Embolism, Paradoxical
EFO:1001310	Encephalitis, Varicella Zoster
EFO:1001311	End Stage Liver Disease
EFO:1001313	Enterobacteriaceae Infections
EFO:1001314	pseudomembranous enterocolitis
EFO:1001315	Enzootic Bovine Leukosis
EFO:1001317	Epiphyses, Slipped
EFO:1001318	Escherichia coli Infections
EFO:1001319	Euglenozoa Infections
EFO:1001322	Eye Foreign Bodies
EFO:1001323	Eye Injuries, Penetrating
EFO:1001325	abdominal fibromatosis
EFO:1001326	Flavivirus Infections
EFO:1001327	Flavobacteriaceae Infections
EFO:1001328	fluoride poisoning
EFO:1001329	Follicular Cyst
EFO:1001331	Genital neoplasm, female
EFO:1001332	Giant Lymph Node Hyperplasia
EFO:1001333	Glycogen Storage Disease Type 2b
EFO:1001336	Hammer Toe Syndrome
EFO:1001337	Hand-Arm Vibration Syndrome
EFO:1001338	Hearing Loss, Noise-Induced
EFO:1001343	Hemangioma, Cavernous, Central Nervous System
EFO:1001347	Herpes Labialis
EFO:1001348	HIV-Associated Lipodystrophy Syndrome
EFO:1001349	Human T-lymphotropic virus 2 infectious disease
EFO:1001350	Immunoblastic Lymphadenopathy
EFO:1001353	Klebsiella Infections
EFO:1001355	Laryngopharyngeal Reflux
EFO:1001356	Leiomyoma, Epithelioid
EFO:1001357	Lentivirus Infections
EFO:1001358	Leprosy, Paucibacillary
EFO:1001359	Leukocyte-Adhesion Deficiency Syndrome
EFO:1001363	Lupus Vasculitis, Central Nervous System
EFO:1001364	Lymphatic Metastasis
EFO:1001365	Lymphoma, AIDS-Related
EFO:1001367	Medial Tibial Stress Syndrome
EFO:1001368	Mediastinal Cyst
EFO:1001371	Mixed Tumor, Mesodermal
EFO:1001373	Multiple Organ Failure
EFO:1001374	Mycoplasmatales Infections
EFO:1001375	Myocardial Ischemia
EFO:1001377	Neisseriaceae Infections
