ID	OBSOLETE	REPLACED BY	OBSOLETED IN VERSION	REASON FOR OBSOLETION
http://www.orpha.net/ORDO/Orphanet_98615	true	http://purl.obolibrary.org/obo/MONDO_0020203	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0020203
http://www.orpha.net/ORDO/Orphanet_35	true	http://purl.obolibrary.org/obo/MONDO_0011628	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0011628
http://www.orpha.net/ORDO/Orphanet_216718	true	http://purl.obolibrary.org/obo/MONDO_0016302	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016302
http://www.orpha.net/ORDO/Orphanet_598	true	http://purl.obolibrary.org/obo/MONDO_0018948	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018948
http://www.orpha.net/ORDO/Orphanet_295041	true	http://purl.obolibrary.org/obo/MONDO_0017473	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017473
http://www.orpha.net/ORDO/Orphanet_262842	true	http://purl.obolibrary.org/obo/MONDO_0016953	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016953
http://www.orpha.net/ORDO/Orphanet_3309	true	http://purl.obolibrary.org/obo/MONDO_0018028	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018028
http://www.orpha.net/ORDO/Orphanet_90354	true	http://purl.obolibrary.org/obo/MONDO_0009242	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009242
http://www.orpha.net/ORDO/Orphanet_166024	true	http://purl.obolibrary.org/obo/MONDO_0011778	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0011778
http://www.orpha.net/ORDO/Orphanet_282166	true	http://purl.obolibrary.org/obo/MONDO_0007403	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0007403
http://www.orpha.net/ORDO/Orphanet_261796	true	http://purl.obolibrary.org/obo/MONDO_0016872	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016872
http://www.orpha.net/ORDO/Orphanet_309851	true	http://purl.obolibrary.org/obo/MONDO_0017766	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017766
http://www.orpha.net/ORDO/Orphanet_2044	true	http://purl.obolibrary.org/obo/MONDO_0007621	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0007621
http://www.orpha.net/ORDO/Orphanet_268810	true	http://purl.obolibrary.org/obo/MONDO_0017076	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017076
http://www.orpha.net/ORDO/Orphanet_215	true	http://purl.obolibrary.org/obo/MONDO_0016293	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016293
http://www.orpha.net/ORDO/Orphanet_2301	true	http://purl.obolibrary.org/obo/MONDO_0014097	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0014097
http://www.orpha.net/ORDO/Orphanet_3197	true	http://purl.obolibrary.org/obo/MONDO_0021022	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0021022
http://www.orpha.net/ORDO/Orphanet_163717	true	http://purl.obolibrary.org/obo/MONDO_0015586	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015586
http://www.orpha.net/ORDO/Orphanet_391316	true	http://purl.obolibrary.org/obo/MONDO_0018314	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018314
