label	ID	parent_term
level of RalBP1-associated Eps domain-containing protein 2 in blood serum	OBA_2043240	serum protein amount (OBA_2050071)
level of RalBP1-associated Eps domain-containing protein 2 in blood serum	OBA_2043240	level of RalBP1-associated Eps domain-containing protein 2 in blood (OBA_2050872)
level of Ran GTPase-activating protein 1 (human) in cerebrospinal fluid	OBA_2057883	protein amount (OBA_VT0010120)
level of Ran GTPase-activating protein 1 in blood serum	OBA_2043192	serum protein amount (OBA_2050071)
level of Ran-binding protein 3 (human) in cerebrospinal fluid	OBA_2081006	protein amount (OBA_VT0010120)
level of Ran-binding protein 3 in blood serum	OBA_2043191	serum protein amount (OBA_2050071)
level of Ran-specific GTPase-activating protein (human) in cerebrospinal fluid	OBA_2057860	protein amount (OBA_VT0010120)
level of Ran-specific GTPase-activating protein in blood	OBA_2050866	blood protein amount (OBA_VT0005416)
level of Ran-specific GTPase-activating protein in blood serum	OBA_2043190	serum protein amount (OBA_2050071)
level of Ran-specific GTPase-activating protein in blood serum	OBA_2043190	level of Ran-specific GTPase-activating protein in blood (OBA_2050866)
level of Rap guanine nucleotide exchange factor 1 (human) in cerebrospinal fluid	OBA_2058743	protein amount (OBA_VT0010120)
level of Rap guanine nucleotide exchange factor 1 in blood serum	OBA_2043196	serum protein amount (OBA_2050071)
level of Rap guanine nucleotide exchange factor 2 in blood	OBA_2051673	blood protein amount (OBA_VT0005416)
level of Rap guanine nucleotide exchange factor 5 (human) in cerebrospinal fluid	OBA_2080159	protein amount (OBA_VT0010120)
level of Rap guanine nucleotide exchange factor 5 in blood serum	OBA_2043197	serum protein amount (OBA_2050071)
level of Rap1 GTPase-GDP dissociation stimulator 1 (human) in cerebrospinal fluid	OBA_2058075	protein amount (OBA_VT0010120)
level of Rap1 GTPase-GDP dissociation stimulator 1 in blood serum	OBA_2043194	serum protein amount (OBA_2050071)
level of Rap1 GTPase-activating protein 1 (human) in cerebrospinal fluid	OBA_2057900	protein amount (OBA_VT0010120)
level of Rap1 GTPase-activating protein 1 in blood serum	OBA_2043193	serum protein amount (OBA_2050071)
level of Ras GTPase-activating protein 1 (human) in cerebrospinal fluid	OBA_2057372	protein amount (OBA_VT0010120)
level of Ras GTPase-activating protein-binding protein 1 (human) in cerebrospinal fluid	OBA_2058663	protein amount (OBA_VT0010120)
level of Ras GTPase-activating protein-binding protein 1 in blood serum	OBA_2041644	serum protein amount (OBA_2050071)
level of Ras GTPase-activating protein-binding protein 2 (human) in cerebrospinal fluid	OBA_2081666	protein amount (OBA_VT0010120)
level of Ras GTPase-activating-like protein IQGAP2 in blood	OBA_2051485	blood protein amount (OBA_VT0005416)
level of Ras association domain-containing protein 2 (human) in cerebrospinal fluid	OBA_2058020	protein amount (OBA_VT0010120)
level of Ras association domain-containing protein 2 in blood	OBA_2050867	blood protein amount (OBA_VT0005416)
level of Ras association domain-containing protein 2 in blood serum	OBA_2043200	serum protein amount (OBA_2050071)
level of Ras association domain-containing protein 2 in blood serum	OBA_2043200	level of Ras association domain-containing protein 2 in blood (OBA_2050867)
level of Ras association domain-containing protein 5 (human) in cerebrospinal fluid	OBA_2080103	protein amount (OBA_VT0010120)
level of Ras association domain-containing protein 5 in blood serum	OBA_2043201	serum protein amount (OBA_2050071)
level of Ras-related C3 botulinum toxin substrate 1 (human) in cerebrospinal fluid	OBA_2058330	protein amount (OBA_VT0010120)
level of Ras-related C3 botulinum toxin substrate 2 (human) in cerebrospinal fluid	OBA_2057181	protein amount (OBA_VT0010120)
level of Ras-related C3 botulinum toxin substrate 3 (human) in cerebrospinal fluid	OBA_2058247	protein amount (OBA_VT0010120)
level of Ras-related GTP-binding protein C (human) in cerebrospinal fluid	OBA_2081070	protein amount (OBA_VT0010120)
level of Ras-related GTP-binding protein C in blood serum	OBA_2043342	serum protein amount (OBA_2050071)
level of Ras-related and estrogen-regulated growth inhibitor (human) in cerebrospinal fluid	OBA_2080269	protein amount (OBA_VT0010120)
level of Ras-related and estrogen-regulated growth inhibitor in blood serum	OBA_2043242	serum protein amount (OBA_2050071)
level of Ras-related protein M-Ras (human) in cerebrospinal fluid	OBA_2056015	protein amount (OBA_VT0010120)
level of Ras-related protein M-Ras in blood serum	OBA_2042414	serum protein amount (OBA_2050071)
level of Ras-related protein R-Ras (human) in cerebrospinal fluid	OBA_2057016	protein amount (OBA_VT0010120)
level of Ras-related protein R-Ras in blood	OBA_2050879	blood protein amount (OBA_VT0005416)
level of Ras-related protein R-Ras in blood serum	OBA_2043343	serum protein amount (OBA_2050071)
level of Ras-related protein R-Ras in blood serum	OBA_2043343	level of Ras-related protein R-Ras in blood (OBA_2050879)
level of Ras-related protein R-Ras2 (human) in cerebrospinal fluid	OBA_2058298	protein amount (OBA_VT0010120)
level of Ras-related protein R-Ras2 in blood serum	OBA_2043344	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-10 in blood	OBA_2051666	blood protein amount (OBA_VT0005416)
level of Ras-related protein Rab-11A (human) in cerebrospinal fluid	OBA_2058315	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-11B (human) in cerebrospinal fluid	OBA_2058965	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-11B in blood serum	OBA_2043138	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-13 (human) in cerebrospinal fluid	OBA_2058029	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-13 in blood serum	OBA_2043139	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-14 (human) in cerebrospinal fluid	OBA_2058266	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-14 in blood serum	OBA_2043140	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-17 (human) in cerebrospinal fluid	OBA_2080893	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-17 in blood serum	OBA_2043141	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-18 (human) in cerebrospinal fluid	OBA_2081125	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-1A (human) in cerebrospinal fluid	OBA_2058319	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-1A in blood serum	OBA_2043142	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-1B (human) in cerebrospinal fluid	OBA_2080894	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-1B in blood serum	OBA_2043143	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-21 (human) in cerebrospinal fluid	OBA_2081613	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-21 in blood serum	OBA_2043144	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-22A (human) in cerebrospinal fluid	OBA_2081614	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-22A in blood serum	OBA_2043145	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-23 (human) in cerebrospinal fluid	OBA_2081621	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-23 in blood serum	OBA_2043146	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-24 (human) in cerebrospinal fluid	OBA_2080249	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-24 in blood serum	OBA_2043147	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-26 (human) in cerebrospinal fluid	OBA_2081635	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-26 in blood serum	OBA_2043148	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-27A (human) in cerebrospinal fluid	OBA_2058030	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-27A in blood serum	OBA_2043149	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-27B (human) in cerebrospinal fluid	OBA_2055909	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-27B in blood serum	OBA_2043150	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-2A (human) in cerebrospinal fluid	OBA_2058259	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-2A in blood serum	OBA_2043151	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-2B (human) in cerebrospinal fluid	OBA_2080054	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-2B in blood	OBA_2050859	blood protein amount (OBA_VT0005416)
level of Ras-related protein Rab-2B in blood serum	OBA_2043152	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-2B in blood serum	OBA_2043152	level of Ras-related protein Rab-2B in blood (OBA_2050859)
level of Ras-related protein Rab-31 (human) in cerebrospinal fluid	OBA_2058722	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-31 in blood serum	OBA_2043153	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-32 (human) in cerebrospinal fluid	OBA_2058723	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-33A (human) in cerebrospinal fluid	OBA_2058757	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-33A in blood	OBA_2050860	blood protein amount (OBA_VT0005416)
level of Ras-related protein Rab-33A in blood serum	OBA_2043154	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-33A in blood serum	OBA_2043154	level of Ras-related protein Rab-33A in blood (OBA_2050860)
level of Ras-related protein Rab-37 (human) in cerebrospinal fluid	OBA_2080286	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-37 in blood	OBA_2050861	blood protein amount (OBA_VT0005416)
level of Ras-related protein Rab-37 in blood serum	OBA_2043155	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-37 in blood serum	OBA_2043155	level of Ras-related protein Rab-37 in blood (OBA_2050861)
level of Ras-related protein Rab-38 (human) in cerebrospinal fluid	OBA_2058213	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-38 in blood serum	OBA_2043156	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-39B (human) in cerebrospinal fluid	OBA_2080328	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-39B in blood serum	OBA_2043157	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-3A (human) in cerebrospinal fluid	OBA_2057342	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-3A in blood serum	OBA_2043158	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-3B (human) in cerebrospinal fluid	OBA_2057343	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-3B in blood serum	OBA_2043159	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-3C (human) in cerebrospinal fluid	OBA_2080351	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-3C in blood serum	OBA_2043160	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-3D (human) in cerebrospinal fluid	OBA_2056532	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-3D in blood serum	OBA_2043161	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-43 in blood serum	OBA_2043163	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-44 in blood	OBA_2051894	blood protein amount (OBA_VT0005416)
level of Ras-related protein Rab-4A (human) in cerebrospinal fluid	OBA_2057344	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-4A in blood serum	OBA_2043164	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-4B (human) in cerebrospinal fluid	OBA_2058258	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-4B in blood serum	OBA_2043165	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-5A (human) in cerebrospinal fluid	OBA_2057345	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-5A in blood serum	OBA_2043166	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-5B (human) in cerebrospinal fluid	OBA_2058260	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-5B in blood serum	OBA_2043167	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-5C (human) in cerebrospinal fluid	OBA_2058027	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-5C in blood serum	OBA_2043168	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-6A (human) in cerebrospinal fluid	OBA_2057346	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-6A in blood	OBA_2050862	blood protein amount (OBA_VT0005416)
level of Ras-related protein Rab-6A in blood serum	OBA_2043169	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-6A in blood serum	OBA_2043169	level of Ras-related protein Rab-6A in blood (OBA_2050862)
level of Ras-related protein Rab-6B (human) in cerebrospinal fluid	OBA_2081221	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-6B in blood	OBA_2050863	blood protein amount (OBA_VT0005416)
level of Ras-related protein Rab-6B in blood serum	OBA_2043170	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-6B in blood serum	OBA_2043170	level of Ras-related protein Rab-6B in blood (OBA_2050863)
level of Ras-related protein Rab-7a (human) in cerebrospinal fluid	OBA_2058028	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-7a in blood serum	OBA_2043171	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-7b (human) in cerebrospinal fluid	OBA_2080279	protein amount (OBA_VT0010120)
level of Ras-related protein Rab-7b in blood serum	OBA_2043172	serum protein amount (OBA_2050071)
level of Ras-related protein Rab-8B (human) in cerebrospinal fluid	OBA_2080216	protein amount (OBA_VT0010120)
level of Ras-related protein Ral-A (human) in cerebrospinal fluid	OBA_2057056	protein amount (OBA_VT0010120)
level of Ras-related protein Ral-A in blood serum	OBA_2043186	serum protein amount (OBA_2050071)
level of Ras-related protein Ral-B in blood	OBA_2051668	blood protein amount (OBA_VT0005416)
level of Ras-related protein Rap-1A in blood	OBA_2051672	blood protein amount (OBA_VT0005416)
level of Ras-related protein Rap-2a (human) in cerebrospinal fluid	OBA_2057008	protein amount (OBA_VT0010120)
level of Ras-related protein Rap-2a in blood serum	OBA_2043195	serum protein amount (OBA_2050071)
level of Ras-specific guanine nucleotide-releasing factor 1 in blood	OBA_2051674	blood protein amount (OBA_VT0005416)
level of Ras/Rap GTPase-activating protein SynGAP in blood	OBA_2051776	blood protein amount (OBA_VT0005416)
level of RecQ-mediated genome instability protein 1 (human) in cerebrospinal fluid	OBA_2081038	protein amount (OBA_VT0010120)
level of RecQ-mediated genome instability protein 1 in blood serum	OBA_2043279	serum protein amount (OBA_2050071)
level of Rho GDP-dissociation inhibitor 1 (human) in cerebrospinal fluid	OBA_2058078	protein amount (OBA_VT0010120)
level of Rho GDP-dissociation inhibitor 2 (human) in cerebrospinal fluid	OBA_2058079	protein amount (OBA_VT0010120)
level of Rho GDP-dissociation inhibitor 2 in blood serum	OBA_2040656	serum protein amount (OBA_2050071)
level of Rho GTPase-activating protein 1 (human) in cerebrospinal fluid	OBA_2058545	protein amount (OBA_VT0010120)
level of Rho GTPase-activating protein 22 (human) in cerebrospinal fluid	OBA_2059519	protein amount (OBA_VT0010120)
level of Rho GTPase-activating protein 22 in blood serum	OBA_2040649	serum protein amount (OBA_2050071)
level of Rho GTPase-activating protein 24 (human) in cerebrospinal fluid	OBA_2059766	protein amount (OBA_VT0010120)
level of Rho GTPase-activating protein 24 in blood serum	OBA_2040650	serum protein amount (OBA_2050071)
level of Rho GTPase-activating protein 25 (human) in cerebrospinal fluid	OBA_2057820	protein amount (OBA_VT0010120)
level of Rho GTPase-activating protein 25 in blood serum	OBA_2040651	serum protein amount (OBA_2050071)
level of Rho GTPase-activating protein 26 (human) in cerebrospinal fluid	OBA_2081668	protein amount (OBA_VT0010120)
level of Rho GTPase-activating protein 26 in blood serum	OBA_2040652	serum protein amount (OBA_2050071)
level of Rho GTPase-activating protein 30 (human) in cerebrospinal fluid	OBA_2059529	protein amount (OBA_VT0010120)
level of Rho GTPase-activating protein 30 in blood serum	OBA_2040653	serum protein amount (OBA_2050071)
level of Rho GTPase-activating protein 36 (human) in cerebrospinal fluid	OBA_2059450	protein amount (OBA_VT0010120)
level of Rho GTPase-activating protein 36 in blood serum	OBA_2044674	serum protein amount (OBA_2050071)
level of Rho GTPase-activating protein 45 (human) in cerebrospinal fluid	OBA_2080169	protein amount (OBA_VT0010120)
level of Rho GTPase-activating protein 45 in blood	OBA_2050689	blood protein amount (OBA_VT0005416)
level of Rho GTPase-activating protein 45 in blood serum	OBA_2041894	serum protein amount (OBA_2050071)
level of Rho GTPase-activating protein 45 in blood serum	OBA_2041894	level of Rho GTPase-activating protein 45 in blood (OBA_2050689)
level of Rho GTPase-activating protein 5 (human) in cerebrospinal fluid	OBA_2058629	protein amount (OBA_VT0010120)
level of Rho GTPase-activating protein 5 in blood serum	OBA_2040654	serum protein amount (OBA_2050071)
level of Rho GTPase-activating protein 6 (human) in cerebrospinal fluid	OBA_2056125	protein amount (OBA_VT0010120)
level of Rho GTPase-activating protein 6 in blood serum	OBA_2040655	serum protein amount (OBA_2050071)
level of Rho guanine nucleotide exchange factor 1 (human) in cerebrospinal fluid	OBA_2080209	protein amount (OBA_VT0010120)
level of Rho guanine nucleotide exchange factor 1 in blood	OBA_2050513	blood protein amount (OBA_VT0005416)
level of Rho guanine nucleotide exchange factor 1 in blood serum	OBA_2040657	serum protein amount (OBA_2050071)
level of Rho guanine nucleotide exchange factor 1 in blood serum	OBA_2040657	level of Rho guanine nucleotide exchange factor 1 in blood (OBA_2050513)
level of Rho guanine nucleotide exchange factor 10 (human) in cerebrospinal fluid	OBA_2056046	protein amount (OBA_VT0010120)
level of Rho guanine nucleotide exchange factor 10 in blood serum	OBA_2040658	serum protein amount (OBA_2050071)
level of Rho guanine nucleotide exchange factor 12 in blood	OBA_2051227	blood protein amount (OBA_VT0005416)
level of Rho guanine nucleotide exchange factor 16 (human) in cerebrospinal fluid	OBA_2059227	protein amount (OBA_VT0010120)
level of Rho guanine nucleotide exchange factor 16 in blood serum	OBA_2040659	serum protein amount (OBA_2050071)
level of Rho guanine nucleotide exchange factor 2 (human) in cerebrospinal fluid	OBA_2080222	protein amount (OBA_VT0010120)
level of Rho guanine nucleotide exchange factor 2 in blood serum	OBA_2040660	serum protein amount (OBA_2050071)
level of Rho guanine nucleotide exchange factor 25 (human) in cerebrospinal fluid	OBA_2059596	protein amount (OBA_VT0010120)
level of Rho guanine nucleotide exchange factor 25 in blood serum	OBA_2041700	serum protein amount (OBA_2050071)
level of Rho guanine nucleotide exchange factor 5 in blood	OBA_2051228	blood protein amount (OBA_VT0005416)
level of Rho guanine nucleotide exchange factor 7 (human) in cerebrospinal fluid	OBA_2058770	protein amount (OBA_VT0010120)
level of Rho guanine nucleotide exchange factor 7 in blood serum	OBA_2040661	serum protein amount (OBA_2050071)
level of Rho guanine nucleotide exchange factor TIAM1 (human) in cerebrospinal fluid	OBA_2058627	protein amount (OBA_VT0010120)
level of Rho guanine nucleotide exchange factor TIAM1 in blood serum	OBA_2043848	serum protein amount (OBA_2050071)
level of Rho guanine nucleotide exchange factor TIAM2 (human) in cerebrospinal fluid	OBA_2059665	protein amount (OBA_VT0010120)
level of Rho guanine nucleotide exchange factor TIAM2 in blood serum	OBA_2043849	serum protein amount (OBA_2050071)
level of Rho-associated protein kinase 2 (human) in cerebrospinal fluid	OBA_2056322	protein amount (OBA_VT0010120)
level of Rho-associated protein kinase 2 in blood serum	OBA_2040199	serum protein amount (OBA_2050071)
level of Rho-related GTP-binding protein Rho6 (human) in cerebrospinal fluid	OBA_2080178	protein amount (OBA_VT0010120)
level of Rho-related GTP-binding protein Rho6 in blood serum	OBA_2043286	serum protein amount (OBA_2050071)
level of Rho-related GTP-binding protein RhoB (human) in cerebrospinal fluid	OBA_2058317	protein amount (OBA_VT0010120)
level of Rho-related GTP-binding protein RhoB in blood serum	OBA_2043264	serum protein amount (OBA_2050071)
level of Rho-related GTP-binding protein RhoC (human) in cerebrospinal fluid	OBA_2056873	protein amount (OBA_VT0010120)
level of Rho-related GTP-binding protein RhoC in blood	OBA_2050873	blood protein amount (OBA_VT0005416)
level of Rho-related GTP-binding protein RhoC in blood serum	OBA_2043265	serum protein amount (OBA_2050071)
level of Rho-related GTP-binding protein RhoC in blood serum	OBA_2043265	level of Rho-related GTP-binding protein RhoC in blood (OBA_2050873)
level of Rho-related GTP-binding protein RhoD (human) in cerebrospinal fluid	OBA_2055913	protein amount (OBA_VT0010120)
level of Rho-related GTP-binding protein RhoD in blood serum	OBA_2043266	serum protein amount (OBA_2050071)
level of Rho-related GTP-binding protein RhoE (human) in cerebrospinal fluid	OBA_2058281	protein amount (OBA_VT0010120)
level of Rho-related GTP-binding protein RhoE in blood serum	OBA_2043287	serum protein amount (OBA_2050071)
level of Rho-related GTP-binding protein RhoG (human) in cerebrospinal fluid	OBA_2058405	protein amount (OBA_VT0010120)
level of Rho-related GTP-binding protein RhoG in blood serum	OBA_2043267	serum protein amount (OBA_2050071)
level of Rho-related GTP-binding protein RhoQ (human) in cerebrospinal fluid	OBA_2057246	protein amount (OBA_VT0010120)
level of Rho-related GTP-binding protein RhoQ in blood serum	OBA_2043268	serum protein amount (OBA_2050071)
level of RuvB-like 1 (human) in cerebrospinal fluid	OBA_2081730	protein amount (OBA_VT0010120)
level of RuvB-like 1 in blood	OBA_2050881	blood protein amount (OBA_VT0005416)
level of RuvB-like 1 in blood serum	OBA_2043357	serum protein amount (OBA_2050071)
level of RuvB-like 1 in blood serum	OBA_2043357	level of RuvB-like 1 in blood (OBA_2050881)
level of S-acyl fatty acid synthase thioesterase, medium chain (human) in cerebrospinal fluid	OBA_2081268	protein amount (OBA_VT0010120)
level of S-acyl fatty acid synthase thioesterase, medium chain in blood serum	OBA_2042700	serum protein amount (OBA_2050071)
level of S-adenosylhomocysteine hydrolase-like protein 1 (human) in cerebrospinal fluid	OBA_2056206	protein amount (OBA_VT0010120)
level of S-adenosylhomocysteine hydrolase-like protein 1 in blood serum	OBA_2044356	serum protein amount (OBA_2050071)
level of S-adenosylmethionine sensor upstream of mTORC1 (human) in cerebrospinal fluid	OBA_2059049	protein amount (OBA_VT0010120)
level of S-adenosylmethionine sensor upstream of mTORC1 in blood serum	OBA_2044882	serum protein amount (OBA_2050071)
level of S-adenosylmethionine synthase isoform type-1 (human) in cerebrospinal fluid	OBA_2058423	protein amount (OBA_VT0010120)
level of S-adenosylmethionine synthetase isoform type-1 in blood serum	OBA_2042304	serum protein amount (OBA_2050071)
level of S-arrestin (human) in cerebrospinal fluid	OBA_2057022	protein amount (OBA_VT0010120)
level of S-arrestin in blood	OBA_2050886	blood protein amount (OBA_VT0005416)
level of S-arrestin in blood serum	OBA_2043374	serum protein amount (OBA_2050071)
level of S-arrestin in blood serum	OBA_2043374	level of S-arrestin in blood (OBA_2050886)
level of S-formylglutathione hydrolase (human) in cerebrospinal fluid	OBA_2057038	protein amount (OBA_VT0010120)
level of S-methyl-5'-thioadenosine phosphorylase (human) in cerebrospinal fluid	OBA_2058641	protein amount (OBA_VT0010120)
level of S-methyl-5'-thioadenosine phosphorylase in blood serum	OBA_2042446	serum protein amount (OBA_2050071)
level of S-methylmethionine--homocysteine S-methyltransferase BHMT2 (human) in cerebrospinal fluid	OBA_2080934	protein amount (OBA_VT0010120)
level of S-phase kinase-associated protein 1 (human) in cerebrospinal fluid	OBA_2058340	S-phase kinase-associated protein 1A amount (OBA_2050306)
level of S-phase kinase-associated protein 2 (human) in cerebrospinal fluid	OBA_2058668	protein amount (OBA_VT0010120)
level of S-phase kinase-associated protein 2 in blood serum	OBA_2043520	serum protein amount (OBA_2050071)
level of SAFB-like transcription modulator (human) in cerebrospinal fluid	OBA_2081289	protein amount (OBA_VT0010120)
level of SAFB-like transcription modulator in blood serum	OBA_2043551	serum protein amount (OBA_2050071)
level of SAGA-associated factor 29 (human) in cerebrospinal fluid	OBA_2080368	protein amount (OBA_VT0010120)
level of SAGA-associated factor 29 in blood serum	OBA_2040926	serum protein amount (OBA_2050071)
level of SAM domain-containing protein SAMSN-1 (human) in cerebrospinal fluid	OBA_2081241	protein amount (OBA_VT0010120)
level of SAM domain-containing protein SAMSN-1 in blood serum	OBA_2044357	serum protein amount (OBA_2050071)
level of SAM pointed domain-containing Ets transcription factor (human) in cerebrospinal fluid	OBA_2056482	protein amount (OBA_VT0010120)
level of SAM pointed domain-containing Ets transcription factor in blood serum	OBA_2043623	serum protein amount (OBA_2050071)
level of SAYSvFN domain-containing protein 1 (human) in cerebrospinal fluid	OBA_2081137	protein amount (OBA_VT0010120)
level of SAYSvFN domain-containing protein 1 in blood serum	OBA_2044702	serum protein amount (OBA_2050071)
level of SCAN domain-containing protein 1 (human) in cerebrospinal fluid	OBA_2058209	protein amount (OBA_VT0010120)
level of SCAN domain-containing protein 1 in blood serum	OBA_2043391	serum protein amount (OBA_2050071)
level of SCP2 sterol-binding domain-containing protein 1 in blood serum	OBA_2044878	serum protein amount (OBA_2050071)
level of SEC14 domain and spectrin repeat-containing protein 1 in blood	OBA_2051924	blood protein amount (OBA_VT0005416)
level of SEC14-like protein 4 (human) in cerebrospinal fluid	OBA_2081473	protein amount (OBA_VT0010120)
level of SEC14-like protein 4 in blood serum	OBA_2043418	serum protein amount (OBA_2050071)
level of SERTA domain-containing protein 3 (human) in cerebrospinal fluid	OBA_2081561	protein amount (OBA_VT0010120)
level of SERTA domain-containing protein 3 in blood serum	OBA_2043467	serum protein amount (OBA_2050071)
level of SET-binding protein (human) in cerebrospinal fluid	OBA_2081905	protein amount (OBA_VT0010120)
level of SET-binding protein in blood serum	OBA_2043468	serum protein amount (OBA_2050071)
level of SH2 domain-containing adapter protein D (human) in cerebrospinal fluid	OBA_2080428	protein amount (OBA_VT0010120)
level of SH2 domain-containing adapter protein D in blood	OBA_2050902	blood protein amount (OBA_VT0005416)
level of SH2 domain-containing adapter protein D in blood serum	OBA_2043500	serum protein amount (OBA_2050071)
level of SH2 domain-containing adapter protein D in blood serum	OBA_2043500	level of SH2 domain-containing adapter protein D in blood (OBA_2050902)
level of SH2 domain-containing protein 1A (human) in cerebrospinal fluid	OBA_2056288	protein amount (OBA_VT0010120)
level of SH2 domain-containing protein 1B (human) in cerebrospinal fluid	OBA_2056014	protein amount (OBA_VT0010120)
level of SH2 domain-containing protein 1B in blood serum	OBA_2043489	serum protein amount (OBA_2050071)
level of SH2 domain-containing protein 3C (human) in cerebrospinal fluid	OBA_2059812	protein amount (OBA_VT0010120)
level of SH2 domain-containing protein 3C in blood serum	OBA_2043490	serum protein amount (OBA_2050071)
level of SH2/SH3 adapter protein NCK1 (human) in cerebrospinal fluid	OBA_2057223	protein amount (OBA_VT0010120)
level of SH2B adapter protein 3 (human) in cerebrospinal fluid	OBA_2081712	protein amount (OBA_VT0010120)
level of SH2B adapter protein 3 in blood	OBA_2050899	blood protein amount (OBA_VT0005416)
level of SH2B adapter protein 3 in blood serum	OBA_2043488	serum protein amount (OBA_2050071)
level of SH2B adapter protein 3 in blood serum	OBA_2043488	level of SH2B adapter protein 3 in blood (OBA_2050899)
level of SH3 and PX domain-containing protein 2B (human) in cerebrospinal fluid	OBA_2055831	protein amount (OBA_VT0010120)
level of SH3 and PX domain-containing protein 2B in blood serum	OBA_2043496	serum protein amount (OBA_2050071)
level of SH3 and cysteine-rich domain-containing protein (human) in cerebrospinal fluid	OBA_2080581	protein amount (OBA_VT0010120)
level of SH3 and cysteine-rich domain-containing protein in blood serum	OBA_2043687	serum protein amount (OBA_2050071)
level of SH3 and multiple ankyrin repeat domains protein 1 (human) in cerebrospinal fluid	OBA_2081823	protein amount (OBA_VT0010120)
level of SH3 and multiple ankyrin repeat domains protein 1 in blood serum	OBA_2043497	serum protein amount (OBA_2050071)
level of SH3 and multiple ankyrin repeat domains protein 3 (human) in cerebrospinal fluid	OBA_2080810	protein amount (OBA_VT0010120)
level of SH3 and multiple ankyrin repeat domains protein 3 in blood serum	OBA_2043498	serum protein amount (OBA_2050071)
level of SH3 domain-binding glutamic acid-rich-like protein 2 (human) in cerebrospinal fluid	OBA_2081552	protein amount (OBA_VT0010120)
level of SH3 domain-binding glutamic acid-rich-like protein 2 in blood	OBA_2051031	blood protein amount (OBA_VT0005416)
