label	ID	parent_term
AHSP/BLVRB protein level ratio in blood	OBA_2053654	protein measurement (EFO_0004747)
AHSP/CA2 protein level ratio in blood	OBA_2053655	protein measurement (EFO_0004747)
AHSP/HBQ1 protein level ratio in blood	OBA_2053656	protein measurement (EFO_0004747)
AHSP/HMBS protein level ratio in blood	OBA_2053657	protein measurement (EFO_0004747)
AIF1/TPMT protein level ratio in blood	OBA_2053658	protein measurement (EFO_0004747)
AIFM1/EGF protein level ratio in blood	OBA_2053659	protein measurement (EFO_0004747)
AIFM1/PLXNA4 protein level ratio in blood	OBA_2053710	protein measurement (EFO_0004747)
AIFM1/SIRT2 protein level ratio in blood	OBA_2053711	protein measurement (EFO_0004747)
AK1/DNPH1 protein level ratio in blood	OBA_2053712	protein measurement (EFO_0004747)
AK1/GLRX protein level ratio in blood	OBA_2053713	protein measurement (EFO_0004747)
AK1/NSFL1C protein level ratio in blood	OBA_2053714	protein measurement (EFO_0004747)
AK1/PEBP1 protein level ratio in blood	OBA_2053715	protein measurement (EFO_0004747)
AK1/PSMD9 protein level ratio in blood	OBA_2053716	protein measurement (EFO_0004747)
AKR1B1/SUGT1 protein level ratio in blood	OBA_2054384	protein measurement (EFO_0004747)
AKT1S1/FHIT protein level ratio in blood	OBA_2054385	protein measurement (EFO_0004747)
AKT1S1/FOXO1 protein level ratio in blood	OBA_2054286	protein measurement (EFO_0004747)
AKT1S1/MAX protein level ratio in blood	OBA_2054287	protein measurement (EFO_0004747)
AKT1S1/PMVK protein level ratio in blood	OBA_2054288	protein measurement (EFO_0004747)
AKT1S1/PRTFDC1 protein level ratio in blood	OBA_2054289	protein measurement (EFO_0004747)
AKT1S1/TDRKH protein level ratio in blood	OBA_2054290	protein measurement (EFO_0004747)
ALCAM/CDH5 protein level ratio in blood	OBA_2054291	protein measurement (EFO_0004747)
ALCAM/CNTN1 protein level ratio in blood	OBA_2054292	protein measurement (EFO_0004747)
ALCAM/ENPP2 protein level ratio in blood	OBA_2054293	protein measurement (EFO_0004747)
ALCAM/ICAM3 protein level ratio in blood	OBA_2054294	protein measurement (EFO_0004747)
ALCAM/IL1RL2 protein level ratio in blood	OBA_2054295	protein measurement (EFO_0004747)
ALCAM/LRRC25 protein level ratio in blood	OBA_2054296	protein measurement (EFO_0004747)
ALCAM/MSR1 protein level ratio in blood	OBA_2054297	protein measurement (EFO_0004747)
ALCAM/NOTCH1 protein level ratio in blood	OBA_2054298	protein measurement (EFO_0004747)
ALCAM/SPINT1 protein level ratio in blood	OBA_2054299	protein measurement (EFO_0004747)
ALDH1A1/CA2 protein level ratio in blood	OBA_2054300	protein measurement (EFO_0004747)
ALDH1A1/CA3 protein level ratio in blood	OBA_2054301	protein measurement (EFO_0004747)
ALDH1A1/PKLR protein level ratio in blood	OBA_2054302	protein measurement (EFO_0004747)
ALDH1A1/PTS protein level ratio in blood	OBA_2054303	protein measurement (EFO_0004747)
ALDH1A1/RBKS protein level ratio in blood	OBA_2054304	protein measurement (EFO_0004747)
ALDH1A1/SORD protein level ratio in blood	OBA_2054305	protein measurement (EFO_0004747)
ALPP/LAMP3 protein level ratio in blood	OBA_2054306	protein measurement (EFO_0004747)
ALPP/MSLN protein level ratio in blood	OBA_2054307	protein measurement (EFO_0004747)
AMBP/ASGR1 protein level ratio in blood	OBA_2054308	protein measurement (EFO_0004747)
