peripheralneuropathy	EFO:0003100	peripheral neuropathy	Disease	HP:0009830	Peripheral neuropathy	Phenotype
personalitydisorder	HP:0012075	Personality disorder	Phenotype	MONDO:0002028	personality disorder	Disease
pneumonia	EFO:0003106	pneumonia	Disease	HP:0002090	Pneumonia	Phenotype
pneumothorax	HP:0002107	Pneumothorax	Phenotype	MONDO:0002076	pneumothorax	Disease
polydactyly	HP:0010442	Polydactyly	Phenotype	MONDO:0021003	polydactyly	Disease
prematureejaculation	HP:0012876	Premature ejaculation	Phenotype	MONDO:0001780	premature ejaculation	Disease
pulmonaryembolism	EFO:0003827	pulmonary embolism	Disease	HP:0002204	Pulmonary embolism	Phenotype
pureredcellaplasia	HP:0012410	Pure red cell aplasia	Phenotype	MONDO:0001705	pure red-cell aplasia	Disease
purpura	HP:0000979	Purpura	Phenotype	MONDO:0002610	purpura	Disease
rheumatoidarthritis	EFO:0000685	rheumatoid arthritis	Disease	HP:0001370	Rheumatoid arthritis	Phenotype
rickets	EFO:0005583	rickets	Disease	HP:0002748	Rickets	Phenotype
scleroderma	EFO:1001993	scleroderma	Disease	HP:0100324	Scleroderma	Phenotype
seborrheicdermatitis	EFO:1000764	seborrheic dermatitis	Disease	HP:0001051	Seborrheic dermatitis	Phenotype
severecombinedimmunodeficiency	HP:0004430	Severe combined immunodeficiency	Phenotype	MONDO:0015974	severe combined immunodeficiency	Disease
sideroblasticanemia	HP:0001924	Sideroblastic anemia	Phenotype	MONDO:0015194	sideroblastic anemia	Disease
skeletaldysplasia	HP:0002652	Skeletal dysplasia	Phenotype	MONDO:0018230	skeletal dysplasia	Disease
sleepapnea	EFO:0003877	sleep apnea	Disease	HP:0010535	Sleep apnea	Phenotype
spondyloepimetaphysealdysplasia	HP:0002651	Spondyloepimetaphyseal dysplasia	Phenotype	MONDO:0100510	spondyloepimetaphyseal dysplasia	Disease
spondyloepiphysealdysplasia	HP:0002655	Spondyloepiphyseal dysplasia	Phenotype	MONDO:0016761	spondyloepiphyseal dysplasia	Disease
stroke	EFO:0000712	stroke	Disease	HP:0001297	Stroke	Phenotype
supravalvularaorticstenosis	HP:0004381	Supravalvular aortic stenosis	Phenotype	MONDO:0008504	supravalvular aortic stenosis	Disease
syndactyly	HP:0001159	Syndactyly	Phenotype	MONDO:0021002	syndactyly	Disease
systemiclupuserythematosus	HP:0002725	Systemic lupus erythematosus	Phenotype	MONDO:0007915	systemic lupus erythematosus	Disease
toothagenesis	EFO:0005410	tooth agenesis	Disease	HP:0009804	Tooth agenesis	Phenotype
trichilemmalcyst	HP:0025246	Trichilemmal cyst	Phenotype	MONDO:0012328	trichilemmal cyst	Disease
trigonocephaly	HP:0000243	Trigonocephaly	Phenotype	MONDO:0000156	trigonocephaly	Disease
trimethylaminuria	HP:0003614	Trimethylaminuria	Phenotype	MONDO:0011182	trimethylaminuria	Disease
uvealmelanoma	EFO:1000616	Uveal Melanoma	Disease	HP:0007716	Uveal melanoma	Phenotype
uveitis	EFO:1001231	uveitis	Disease	HP:0000554	Uveitis	Phenotype
vasculitis	EFO:0006803	vasculitis	Disease	HP:0002633	Vasculitis	Phenotype
ventricularfibrillation	EFO:0004287	ventricular fibrillation	Disease	HP:0001663	Ventricular fibrillation	Phenotype
visualagnosia	HP:0030222	Visual agnosia	Phenotype	MONDO:0000685	visual agnosia	Disease
whoopingcough	EFO:0000650	whooping cough	Disease	HP:0031247	Whooping cough	Phenotype
