?child	?label	?parents	?parentlabels
<http://purl.obolibrary.org/obo/OBA_2055419>	"F9/FETUB protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2045164>	"level of Triacylglycerol (51:4) in blood serum"	"http://purl.obolibrary.org/obo/OBA_2045035"	"level of triglyceride in blood serum"
<http://purl.obolibrary.org/obo/OBA_2045078>	"level of Phosphatidylcholine (16:0_22:4) in blood serum"	"http://purl.obolibrary.org/obo/OBA_2045031"	"level of phosphatidylcholine in blood serum"
<http://purl.obolibrary.org/obo/OBA_2044641>	"level of FAD-dependent oxidoreductase domain-containing protein 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2053572>	"BANK1/BCR protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2051305>	"level of cingulin in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042159>	"level of laminin subunit gamma-1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044235>	"level of sulfotransferase 1A3 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041457>	"level of eukaryotic translation initiation factor 4 gamma 3 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2055652>	"SLAMF7/TXNDC15 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2042805>	"level of neuroendocrine convertase 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040886>	"level of soluble calcium-activated nucleotidase 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051325>	"level of cytochrome c oxidase subunit 6B1 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2054591>	"CPB1/REG1A protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2040353>	"level of platelet glycoprotein Ib beta chain in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050449"	"level of platelet glycoprotein Ib beta chain in blood"
<http://purl.obolibrary.org/obo/OBA_2054288>	"AKT1S1/PMVK protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2042744>	"level of PCNA-associated factor in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2053019>	"HEXIM1/SRPK2 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2052592>	"amount of fibroblast growth factor 19 (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2050123"	"fibroblast growth factor 19 amount"
<http://purl.obolibrary.org/obo/OBA_2045055>	"level of 1-O-oleoyl-sn-glycero-3-phosphoserine in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050375"	"level of glycerophosphoserine in blood"
<http://purl.obolibrary.org/obo/OBA_2053001>	"CDH17/PECAM1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2040475>	"level of acyl-CoA-binding domain-containing protein 6 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051206>	"level of alanine--glyoxylate aminotransferase 2-like 2 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050147>	"transforming growth factor beta-1 amount"	"http://purl.obolibrary.org/obo/OBA_1000978"	"TGF-beta amount"
<http://purl.obolibrary.org/obo/OBA_2050422>	"level of cartilage oligomeric matrix protein in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043460>	"level of serpin B3 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040562>	"level of aldehyde dehydrogenase, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050490"	"level of aldehyde dehydrogenase, mitochondrial in blood"
<http://purl.obolibrary.org/obo/OBA_2052503>	"amount of Delta(14)-sterol reductase LBR (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2051500"	"level of Delta(14)-sterol reductase LBR in blood"
<http://purl.obolibrary.org/obo/OBA_2044723>	"level of tetratricopeptide repeat protein 9B in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040261>	"level of CD320 molecule in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043933>	"level of E3 ubiquitin-protein ligase TRIM21 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050966"	"level of E3 ubiquitin-protein ligase TRIM21 in blood"
<http://purl.obolibrary.org/obo/OBA_2045092>	"level of Phosphatidylcholine (18:0_20:2) in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050941>	"level of synaptotagmin-1 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041791>	"level of glutamate receptor ionotropic, kainate 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050673"	"level of glutamate receptor ionotropic, kainate 2 in blood"
<http://purl.obolibrary.org/obo/OBA_2051885>	"level of gamma-glutamylaminecyclotransferase in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2053164>	"BTN2A1/BTN3A2 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2041076>	"level of contactin-associated protein-like 5 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052827>	"amount of protein C19orf12 (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2051956"	"level of protein C19orf12 in blood"
<http://purl.obolibrary.org/obo/OBA_2041772>	"level of gephyrin in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041819>	"level of gametocyte-specific factor 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051195>	"level of long-chain-fatty-acid--CoA ligase 1 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041110>	"level of cytochrome c oxidase subunit 7A-related protein, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044810>	"level of spermatogenesis-associated protein 33 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2053015>	"HEXIM1/IPCEF1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2052998>	"USP8/WASF1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2045119>	"level of Phosphatidylcholine (O-16:1_18:0) in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044902>	"level of defensin alpha 5 (human) in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041578>	"level of fibroblast growth factor receptor-like 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2054147>	"FOXO1/NUB1 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2053824>	"MANF/SNX9 protein level ratio in blood"	"http://www.ebi.ac.uk/efo/EFO_0004747"	"protein measurement"
<http://purl.obolibrary.org/obo/OBA_2044293>	"level of protein FAM118B in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044866>	"level of uncharacterized protein C1orf50 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041439>	"level of eukaryotic translation initiation factor 2A in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051771>	"level of serine/threonine-protein kinase STK11 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041571>	"level of flap endonuclease 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042051>	"level of nicotinamide riboside kinase 2 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
