?child	?label	?parents	?parentlabels
<http://purl.obolibrary.org/obo/OBA_2044447>	"level of mitochondrial import inner membrane translocase subunit Tim21 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052320>	"amount of angiogenin (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051543>	"level of protein LYRIC in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052565>	"amount of Fc receptor-like protein 2 (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2051884>	"level of alanine--glyoxylate aminotransferase in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040970>	"level of cyclin-dependent kinase inhibitor 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2051091"	"level of cyclin-dependent kinase inhibitor 1 in blood"
<http://purl.obolibrary.org/obo/OBA_2040954>	"level of serine/threonine-protein kinase MRCK alpha in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041739>	"level of glutamine synthetase in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2052930>	"amount of placenta growth factor (human) in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044060>	"level of ubiquitin carboxyl-terminal hydrolase 21 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050783>	"level of nitric oxide synthase, endothelial in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043548>	"level of SLIT and NTRK-like protein 3 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2042339>	"level of meprin A subunit alpha in blood serum"	"http://purl.obolibrary.org/obo/OBA_2050751"	"level of meprin A subunit alpha in blood"
<http://purl.obolibrary.org/obo/OBA_2052660>	"amount of epidermal growth factor receptor (human) in blood"	"http://purl.obolibrary.org/obo/OBA_2050158"	"epidermal growth factor receptor amount"
<http://purl.obolibrary.org/obo/OBA_2044174>	"level of zinc finger and BTB domain-containing protein 7A in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050661>	"level of gastrokine-1 in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041419>	"level of elongation factor 1-delta in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
