?child	?label
<http://www.ebi.ac.uk/efo/EFO_0009943>	"Antihistamine use measurement"
<http://www.ebi.ac.uk/efo/EFO_0600082>	"insulin use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009928>	"Diuretic use measurement"
<http://www.ebi.ac.uk/efo/EFO_0600076>	"stimulant use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009936>	"Drugs affecting bone structure and mineralization use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009938>	"Anilide use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009924>	"Drugs used in diabetes use measurement"
<http://www.ebi.ac.uk/efo/EFO_0007011>	"SSRI use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009941>	"Inhalant adrenergic use measurement"
<http://www.ebi.ac.uk/efo/EFO_0009944>	"Antiglaucoma preparations and miotics use measurement"
<http://www.ebi.ac.uk/efo/EFO_0022047>	"sulcal depth"@en
<http://www.ebi.ac.uk/efo/EFO_0005665>	"white matter hyperintensity measurement"
<http://www.ebi.ac.uk/efo/EFO_0007817>	"sleep apnea measurement"
<http://www.ebi.ac.uk/efo/EFO_0008456>	"sleep apnea measurement during non-REM sleep"
<http://www.ebi.ac.uk/efo/EFO_0008455>	"sleep apnea measurement during REM sleep"
<http://www.ebi.ac.uk/efo/EFO_0007971>	"estrone conjugate measurement"
<http://www.ebi.ac.uk/efo/EFO_0007909>	"CHGA cleavage product measurement"
<http://www.ebi.ac.uk/efo/EFO_0010115>	"glycerol measurement"
<http://www.ebi.ac.uk/efo/EFO_0021840>	"glycerol-1-myristate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0010488>	"glycerol-3-phosphate measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0004915>	"vaspin measurement"
<http://www.ebi.ac.uk/efo/EFO_0010456>	"allantoin measurement"@en
<http://www.ebi.ac.uk/efo/EFO_0022382>	"psoriasis area and severity index"@en
<http://www.ebi.ac.uk/efo/EFO_0010110>	"ketone body measurement"
<http://www.ebi.ac.uk/efo/EFO_0010113>	"3-hydroxybutyric acid measurement"
<http://www.ebi.ac.uk/efo/EFO_0010112>	"acetate measurement"
<http://www.ebi.ac.uk/efo/EFO_0020892>	"acetate change measurement"
<http://www.ebi.ac.uk/efo/EFO_0010111>	"acetoacetate measurement"
<http://www.ebi.ac.uk/efo/EFO_0008111>	"diet measurement"
<http://www.ebi.ac.uk/efo/EFO_0020080>	"dietary sodium intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020082>	"dietary vitamin C intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020085>	"dietary retinol intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0007678>	"total fat intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020084>	"dietary vitamin B6 intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020079>	"dietary vitamin B2 intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020087>	"dietary ash intake measurement"
<http://www.ebi.ac.uk/efo/EFO_0020090>	"dietary cholesterol intake measurement"
