?child	?label
<http://purl.obolibrary.org/obo/MONDO_0100393>	"acute myeloid leukemia, t(8;16)"
<http://purl.obolibrary.org/obo/MONDO_0100420>	"acute myeloid leukemia, KIT gene mutation"
<http://purl.obolibrary.org/obo/MONDO_0100379>	"acute myeloid leukemia, t(1;11)(q21;q23)"
<http://www.ebi.ac.uk/efo/EFO_0000330>	"childhood acute myeloid leukemia"
<http://purl.obolibrary.org/obo/MONDO_0100391>	"acute myeloid leukemia, t(2;12)"
<http://purl.obolibrary.org/obo/MONDO_0100425>	"acute myeloid leukemia, KRAS gene mutation"
<http://purl.obolibrary.org/obo/MONDO_0100397>	"acute myeloid leukemia, t(9;22)(q34.1;q11.2)"
<http://purl.obolibrary.org/obo/MONDO_0100415>	"acute myeloid leukemia, FLT3 internal tandem duplication"
<http://purl.obolibrary.org/obo/MONDO_0100374>	"acute myeloid leukemia, t(16;16)(p13.1;q22)"
<http://purl.obolibrary.org/obo/MONDO_0100412>	"acute myeloid leukemia, monoallelic CEBPA gene mutation"
<http://purl.obolibrary.org/obo/MONDO_0100383>	"acute myeloid leukemia, t(11;19)(q23;p13)"
<http://purl.obolibrary.org/obo/MONDO_0100389>	"acute myeloid leukemia, Trisomy 8"
<http://purl.obolibrary.org/obo/MONDO_0100416>	"acute myeloid leukemia, FLT3 tyrosine kinase domain point mutation"
<http://purl.obolibrary.org/obo/MONDO_0100387>	"acute myeloid leukemia, Monosomy 7"
<http://purl.obolibrary.org/obo/MONDO_0100408>	"acute myeloid leukemia, t(16;21)(q24;q22)"
<http://purl.obolibrary.org/obo/MONDO_0100375>	"acute myeloid leukemia, t(15;17)(q24;q21)"
<http://purl.obolibrary.org/obo/MONDO_0100423>	"acute myeloid leukemia, PTPN11 gene mutation"
<http://www.ebi.ac.uk/efo/EFO_0000221>	"acute monocytic leukemia"
<http://www.ebi.ac.uk/efo/EFO_1001944>	"childhood acute monocytic leukemia"
<http://www.ebi.ac.uk/efo/EFO_1001933>	"adult acute monocytic leukemia"
<http://purl.obolibrary.org/obo/MONDO_0100403>	"acute myeloid leukemia, loss of chromosome 17p"
<http://purl.obolibrary.org/obo/MONDO_0100406>	"acute myeloid leukemia, inv(16)(p13.3;q24.3)"
<http://purl.obolibrary.org/obo/MONDO_0100396>	"acute myeloid leukemia, t(7;12)(q36;p13)"
<http://purl.obolibrary.org/obo/MONDO_0100421>	"acute myeloid leukemia, GATA1 gene mutation"
<http://purl.obolibrary.org/obo/MONDO_0019460>	"acute leukemia of ambiguous lineage"
<http://purl.obolibrary.org/obo/MONDO_0020743>	"mixed phenotype acute leukemia"
<http://www.ebi.ac.uk/efo/EFO_1002001>	"core binding factor acute myeloid leukemia"
<http://www.ebi.ac.uk/efo/EFO_0000224>	"acute promyelocytic leukemia"
<http://purl.obolibrary.org/obo/MONDO_0100409>	"acute myeloid leukemia, t(3;5)(q25;q34)"
<http://purl.obolibrary.org/obo/MONDO_0100381>	"acute myeloid leukemia, t(6;11)(q27;q23)"
<http://purl.obolibrary.org/obo/MONDO_0100377>	"acute myeloid leukemia, t(10;11)(p12;q23)"
<http://purl.obolibrary.org/obo/MONDO_0100385>	"acute myeloid leukemia, t(11;19)(q23.3;p13.3)"
<http://purl.obolibrary.org/obo/MONDO_0100384>	"acute myeloid leukemia, t(11;19)(q23;p13.1)"
<http://purl.obolibrary.org/obo/MONDO_0100392>	"acute myeloid leukemia, t(11;17)"
<http://purl.obolibrary.org/obo/MONDO_0044923>	"acute myeloid leukemia with mutated NPM1"
<http://purl.obolibrary.org/obo/MONDO_0100410>	"acute myeloid leukemia, t(16;21)(p11;q22)"
<http://purl.obolibrary.org/obo/MONDO_0100400>	"acute myeloid leukemia, t(3;12)(q23;p12.3)"
<http://purl.obolibrary.org/obo/MONDO_0100388>	"acute myeloid leukemia, Monosomy 5"
<http://purl.obolibrary.org/obo/MONDO_0017894>	"acute myeloid leukemia with CEBPA somatic mutations"
<http://purl.obolibrary.org/obo/MONDO_0100419>	"acute myeloid leukemia, KIT exon 8 mutation"
<http://purl.obolibrary.org/obo/MONDO_0100414>	"acute myeloid leukemia, CEBPA gene mutation"
<http://purl.obolibrary.org/obo/MONDO_0100417>	"acute myeloid leukemia, WT1 gene mutation"
<http://purl.obolibrary.org/obo/MONDO_0100404>	"acute myeloid leukemia, MLL gene rearrangement"
<http://purl.obolibrary.org/obo/MONDO_0019456>	"acute myeloid leukemia with multilineage dysplasia"
<http://www.ebi.ac.uk/efo/EFO_1001257>	"acute erythroblastic leukemia"
<http://www.ebi.ac.uk/efo/EFO_1001934>	"adult acute myeloid leukemia"
<http://purl.obolibrary.org/obo/MONDO_0100373>	"acute myeloid leukemia, inv(16)(p13.1;q22)"
<http://purl.obolibrary.org/obo/MONDO_0100394>	"acute myeloid leukemia, t(1;22)"
<http://purl.obolibrary.org/obo/MONDO_0100382>	"acute myeloid leukemia, t(6;9)(p23;q34.1)"
<http://purl.obolibrary.org/obo/MONDO_0100380>	"acute myeloid leukemia, t(4;11)(q21;q23)"
<http://purl.obolibrary.org/obo/MONDO_0019457>	"therapy related acute myeloid leukemia and myelodysplastic syndrome"
<http://purl.obolibrary.org/obo/MONDO_0100398>	"acute myeloid leukemia, inv(3)(q21.3;q26.2)"
<http://purl.obolibrary.org/obo/MONDO_0100386>	"acute myeloid leukemia, t(v;11q23.3)"
<http://www.ebi.ac.uk/efo/EFO_0000339>	"chronic myelogenous leukemia"
