?child	?label
<http://purl.obolibrary.org/obo/CL_0002015>	"Kit-negative, Ly-76 high polychromatophilic erythroblast"
<http://purl.obolibrary.org/obo/CL_0002016>	"CD71-low, GlyA-positive polychromatic erythroblast"
<http://purl.obolibrary.org/obo/CL_0000549>	"basophilic erythroblast"
<http://purl.obolibrary.org/obo/CL_0002013>	"GlyA-positive basophilic erythroblast"
<http://purl.obolibrary.org/obo/CL_0002014>	"Kit-negative, Ly-76 high basophilic erythroblast"
<http://purl.obolibrary.org/obo/CL_0000547>	"proerythroblast"
<http://purl.obolibrary.org/obo/CL_0002012>	"Kit-low proerythroblast"
<http://purl.obolibrary.org/obo/CL_0002004>	"CD34-negative, GlyA-negative proerythroblast"
<http://purl.obolibrary.org/obo/CL_0000556>	"megakaryocyte"
<http://purl.obolibrary.org/obo/CL_0002027>	"CD9-positive, CD41-positive megakaryocyte cell"
<http://purl.obolibrary.org/obo/CL_0002026>	"CD34-negative, CD41-positive, CD42-positive megakaryocyte cell"
<http://purl.obolibrary.org/obo/CL_0000557>	"granulocyte monocyte progenitor cell"
<http://purl.obolibrary.org/obo/CL_0002001>	"CD34-positive, CD38-positive granulocyte monocyte progenitor"
<http://purl.obolibrary.org/obo/CL_0002002>	"Kit-positive granulocyte monocyte progenitor"
<http://purl.obolibrary.org/obo/CL_0000233>	"platelet"
<http://purl.obolibrary.org/obo/CL_0000050>	"megakaryocyte-erythroid progenitor cell"
<http://purl.obolibrary.org/obo/CL_0002006>	"Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell"
<http://purl.obolibrary.org/obo/CL_0002005>	"CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell"
<http://purl.obolibrary.org/obo/CL_0000766>	"myeloid leukocyte"
<http://purl.obolibrary.org/obo/CL_0000782>	"myeloid dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002532>	"CD16-positive myeloid dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002534>	"mature CD16-positive myeloid dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002533>	"immature CD16-positive myeloid dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002399>	"CD1c-positive myeloid dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002394>	"CD141-positive myeloid dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000092>	"osteoclast"
<http://purl.obolibrary.org/obo/CL_0000779>	"multinuclear osteoclast"
<http://purl.obolibrary.org/obo/CL_0000780>	"multinuclear odontoclast"
<http://purl.obolibrary.org/obo/CL_0000778>	"mononuclear osteoclast"
<http://purl.obolibrary.org/obo/CL_0000781>	"mononuclear odontoclast"
<http://purl.obolibrary.org/obo/CL_0000588>	"odontoclast"
<http://purl.obolibrary.org/obo/CL_0000889>	"myeloid suppressor cell"
<http://purl.obolibrary.org/obo/CL_0002468>	"Gr1-low myeloid suppressor cell"
<http://purl.obolibrary.org/obo/CL_0002467>	"Gr1-high myeloid suppressor cell"
<http://purl.obolibrary.org/obo/CL_0000841>	"mature conventional dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001003>	"mature CD8-alpha-negative CD11b-positive dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001010>	"mature dermal dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002531>	"mature CD1a-positive dermal dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002528>	"mature CD14-positive dermal dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001005>	"mature CD8-alpha-positive CD11b-negative dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001013>	"mature interstitial dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001020>	"mature CD8-alpha-low Langerhans cell"
<http://purl.obolibrary.org/obo/CL_0001017>	"mature CD1a-positive Langerhans cell"
<http://purl.obolibrary.org/obo/CL_0001002>	"mature CD8-alpha-negative CD11b-negative dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002461>	"CD103-positive dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002509>	"CD103-positive, langerin-positive lymph node dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002506>	"liver CD103-positive dendritic cell"
<http://purl.obolibrary.org/obo/CL_0002458>	"langerin-positive dermal dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000998>	"CD8-alpha-negative CD11b-negative dendritic cell"
<http://purl.obolibrary.org/obo/CL_0001001>	"immature CD8-alpha-negative CD11b-negative dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000576>	"monocyte"
<http://purl.obolibrary.org/obo/CL_0002397>	"CD14-positive, CD16-positive monocyte"
<http://purl.obolibrary.org/obo/CL_0000860>	"classical monocyte"
<http://purl.obolibrary.org/obo/CL_0002057>	"CD14-positive, CD16-negative classical monocyte"
