?child	?label
<http://purl.obolibrary.org/obo/HP_0010720>	"Abnormal hair pattern"
<http://purl.obolibrary.org/obo/HP_0010813>	"Abnormal number of hair whorls"
<http://purl.obolibrary.org/obo/HP_0009890>	"High anterior hairline"
<http://purl.obolibrary.org/obo/HP_0000349>	"Widow's peak"
<http://purl.obolibrary.org/obo/HP_0002236>	"Frontal upsweep of hair"
<http://purl.obolibrary.org/obo/HP_0002162>	"Low posterior hairline"
<http://purl.obolibrary.org/obo/HP_0000294>	"Low anterior hairline"
<http://purl.obolibrary.org/obo/HP_0002211>	"White forelock"
<http://purl.obolibrary.org/obo/HP_0000951>	"Abnormality of the skin"
<http://purl.obolibrary.org/obo/HP_0011122>	"Abnormality of skin physiology"
<http://purl.obolibrary.org/obo/HP_0011123>	"Inflammatory abnormality of the skin"
<http://purl.obolibrary.org/obo/HP_0000988>	"Skin rash"
<http://purl.obolibrary.org/obo/HP_0000999>	"Pyoderma"
<http://www.ebi.ac.uk/efo/EFO_1000768>	"spongiotic dermatitis"
<http://www.ebi.ac.uk/efo/EFO_1000714>	"impetigo"
<http://www.ebi.ac.uk/efo/EFO_1000715>	"impetigo herpetiformis"
<http://www.ebi.ac.uk/efo/EFO_1000689>	"ecthyma"
<http://www.ebi.ac.uk/efo/EFO_1000696>	"erythrasma"
<http://www.ebi.ac.uk/efo/EFO_1000683>	"cutaneous diphtheria"
<http://www.ebi.ac.uk/efo/EFO_1000674>	"carbuncle"
<http://purl.obolibrary.org/obo/HP_0000964>	"Eczematoid dermatitis"
<http://purl.obolibrary.org/obo/HP_0001051>	"Seborrheic dermatitis"
<http://purl.obolibrary.org/obo/HP_0012219>	"Erythema nodosum"
<http://purl.obolibrary.org/obo/HP_0031292>	"Cutaneous abscess"
<http://purl.obolibrary.org/obo/HP_0010771>	"Pilonidal abscess"
<http://purl.obolibrary.org/obo/HP_0020083>	"Furuncle"
<http://purl.obolibrary.org/obo/HP_0200039>	"Pustule"
<http://purl.obolibrary.org/obo/HP_0000989>	"Pruritus"
<http://purl.obolibrary.org/obo/HP_0007437>	"Multiple cutaneous leiomyomas"
<http://purl.obolibrary.org/obo/HP_0100698>	"Subcutaneous neurofibroma"
<http://www.ebi.ac.uk/efo/EFO_0006892>	"cutaneous precancerous condition"
<http://purl.obolibrary.org/obo/HP_0030436>	"Fibrofolliculoma"
<http://purl.obolibrary.org/obo/HP_0011121>	"Abnormal skin morphology"
<http://purl.obolibrary.org/obo/HP_0011298>	"Prominent digit pad"
<http://purl.obolibrary.org/obo/HP_0200042>	"Skin ulcer"
<http://www.ebi.ac.uk/efo/EFO_0007066>	"chronic ulcer of skin"
<http://www.ebi.ac.uk/efo/EFO_0007068>	"ulcer of lower limb"
<http://www.ebi.ac.uk/efo/EFO_0007067>	"decubitus ulcer"
<http://purl.obolibrary.org/obo/HP_0001026>	"Penetrating foot ulcers"
<http://purl.obolibrary.org/obo/HP_0007552>	"Abnormal subcutaneous fat tissue distribution"
<http://purl.obolibrary.org/obo/HP_0004552>	"Scarring alopecia of scalp"
<http://purl.obolibrary.org/obo/HP_0001869>	"Deep plantar creases"
<http://purl.obolibrary.org/obo/HP_0001000>	"Abnormality of skin pigmentation"
<http://purl.obolibrary.org/obo/HP_0001010>	"Hypopigmentation of the skin"
