?child	?label
<http://www.ebi.ac.uk/efo/EFO_0008647>	"5’-GRO-seq"
<http://www.ebi.ac.uk/efo/EFO_0008850>	"PAS-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008658>	"BrdU-CLIP"
<http://www.ebi.ac.uk/efo/EFO_0008851>	"PAT-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008841>	"PAIR"
<http://www.ebi.ac.uk/efo/EFO_0009919>	"SPLiT-seq"
<http://www.ebi.ac.uk/efo/EFO_0022603>	"Parse Biosciences technology"@en
<http://www.ebi.ac.uk/efo/EFO_0022602>	"Parse Evercode Whole Transcriptome v3"@en
<http://www.ebi.ac.uk/efo/EFO_0022601>	"Parse Evercode Whole Transcriptome v2"@en
<http://www.ebi.ac.uk/efo/EFO_0022600>	"Parse Evercode Whole Transcriptome v1"@en
<http://www.ebi.ac.uk/efo/EFO_0008943>	"SPARE"
<http://www.ebi.ac.uk/efo/EFO_0008762>	"hi-CLIP"
<http://www.ebi.ac.uk/efo/EFO_0008710>	"Digital RNA"
<http://www.ebi.ac.uk/efo/EFO_0008869>	"PRO-seq"
<http://www.ebi.ac.uk/efo/EFO_0008897>	"RNAtag-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008929>	"SMA"
<http://www.ebi.ac.uk/efo/EFO_0008860>	"Perturb-Seq"
<http://www.ebi.ac.uk/efo/EFO_0022396>	"TruSeq"@en
<http://www.ebi.ac.uk/efo/EFO_0008703>	"CytoSeq"
<http://www.ebi.ac.uk/efo/EFO_0008749>	"Fusion-seq"
<http://www.ebi.ac.uk/efo/EFO_0008790>	"m6A-seq"
<http://www.ebi.ac.uk/efo/EFO_0008978>	"TSS Sequencing"
<http://www.ebi.ac.uk/efo/EFO_0008788>	"m1A mapping"
<http://www.ebi.ac.uk/efo/EFO_0008646>	"4sUDRB-seq"
<http://www.ebi.ac.uk/efo/EFO_0008747>	"FRISCR"
<http://www.ebi.ac.uk/efo/EFO_0010035>	"Frac-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008779>	"in-cell SHAPE-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008982>	"VirCapSeq-VERT"
<http://www.ebi.ac.uk/efo/EFO_0008826>	"NET-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008968>	"Term-Seq"
<http://www.ebi.ac.uk/efo/EFO_0009294>	"CITE-seq"
<http://www.ebi.ac.uk/efo/EFO_0700014>	"ECCITE-seq"
<http://www.ebi.ac.uk/efo/EFO_0030009>	"CITE-seq (sample multiplexing)"
<http://www.ebi.ac.uk/efo/EFO_0009992>	"Bubble-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008807>	"miCLIP-m6A"
<http://www.ebi.ac.uk/efo/EFO_0008726>	"dsRNA-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008824>	"NanoCAGE"
<http://www.ebi.ac.uk/efo/EFO_0008731>	"EPIG-Seq"
<http://www.ebi.ac.uk/efo/EFO_0022839>	"STORM-seq"@en
<http://www.ebi.ac.uk/efo/EFO_0008866>	"Poly(A)-ClickSeq"
<http://www.ebi.ac.uk/efo/EFO_0008644>	"3P-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008877>	"Quartz-seq"
<http://www.ebi.ac.uk/efo/EFO_0008892>	"RiboMeth-seq"
<http://www.ebi.ac.uk/efo/EFO_0008967>	"TCR-LA-MC PCR"
<http://www.ebi.ac.uk/efo/EFO_0008697>	"cP-RNA-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008687>	"ChIRP"
<http://www.ebi.ac.uk/efo/EFO_0010024>	"AGO-PAR-CLIP"
<http://www.ebi.ac.uk/efo/EFO_0010041>	"Nascent-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008971>	"TIVA"
<http://www.ebi.ac.uk/efo/EFO_0008920>	"SeqZip"
<http://www.ebi.ac.uk/efo/EFO_0008694>	"ClickSeq"
<http://www.ebi.ac.uk/efo/EFO_0008815>	"MiR‐CLIP"
<http://www.ebi.ac.uk/efo/EFO_0008972>	"TL-seq"
<http://www.ebi.ac.uk/efo/EFO_0010027>	"RESA"
<http://www.ebi.ac.uk/efo/EFO_0010006>	"scM&T-seq"
<http://www.ebi.ac.uk/efo/EFO_0008962>	"TARDIS"
<http://www.ebi.ac.uk/efo/EFO_0009991>	"Nuc-Seq"
<http://www.ebi.ac.uk/efo/EFO_0010022>	"Smart-3SEQ"
<http://www.ebi.ac.uk/efo/EFO_0008948>	"SS3-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008953>	"STRT-seq"
<http://www.ebi.ac.uk/efo/EFO_0022846>	"5' STRT-seq"@en
<http://www.ebi.ac.uk/efo/EFO_0022845>	"modified STRT-seq"@en
<http://www.ebi.ac.uk/efo/EFO_0008720>	"DroNc-seq"
<http://www.ebi.ac.uk/efo/EFO_0008956>	"SUPeR-seq"
<http://www.ebi.ac.uk/efo/EFO_0008845>	"PAR-CLIP"
<http://www.ebi.ac.uk/efo/EFO_0008759>	"GTI-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008988>	"Ψ-seq"
<http://www.ebi.ac.uk/efo/EFO_0008660>	"BRIC-seq"
<http://www.ebi.ac.uk/efo/EFO_0008757>	"gSELEX-Seq"
<http://www.ebi.ac.uk/efo/EFO_0008693>	"CLASH"
<http://www.ebi.ac.uk/efo/EFO_0010005>	"DR-Seq"
