?child	?label
<http://purl.obolibrary.org/obo/UBERON_0003922>	"pancreatic epithelial bud"
<http://purl.obolibrary.org/obo/UBERON_0003244>	"epithelium of mammary gland"
<http://purl.obolibrary.org/obo/UBERON_0001765>	"mammary duct"
<http://purl.obolibrary.org/obo/UBERON_0002335>	"macula densa"
<http://purl.obolibrary.org/obo/UBERON_2000732>	"somite 3"
<http://purl.obolibrary.org/obo/UBERON_0001304>	"germinal epithelium of ovary"
<http://purl.obolibrary.org/obo/UBERON_2000072>	"somite 1"
<http://purl.obolibrary.org/obo/UBERON_0004141>	"heart tube"
<http://purl.obolibrary.org/obo/UBERON_2001431>	"primitive olfactory epithelium"
<http://purl.obolibrary.org/obo/UBERON_0000115>	"lung epithelium"
<http://purl.obolibrary.org/obo/UBERON_0002169>	"alveolar sac"
<http://purl.obolibrary.org/obo/UBERON_0002051>	"epithelium of bronchiole"
<http://purl.obolibrary.org/obo/UBERON_0007383>	"enveloping layer of ectoderm"
<http://purl.obolibrary.org/obo/UBERON_0004670>	"ependyma"
<http://purl.obolibrary.org/obo/UBERON_0005170>	"granulosa cell layer"
<http://purl.obolibrary.org/obo/UBERON_0009773>	"renal tubule"
<http://purl.obolibrary.org/obo/UBERON_0001231>	"nephron tubule"
<http://purl.obolibrary.org/obo/UBERON_0001288>	"loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0004135>	"distal tubule"
<http://purl.obolibrary.org/obo/UBERON_0001291>	"thick ascending limb of loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0004193>	"loop of Henle ascending limb thin segment"
<http://purl.obolibrary.org/obo/UBERON_0001287>	"proximal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0001289>	"descending limb of loop of Henle"
<http://purl.obolibrary.org/obo/UBERON_0001290>	"proximal straight tubule"
<http://purl.obolibrary.org/obo/UBERON_0004134>	"proximal tubule"
<http://purl.obolibrary.org/obo/UBERON_0001292>	"distal convoluted tubule"
<http://purl.obolibrary.org/obo/UBERON_0005097>	"renal connecting tubule"
<http://purl.obolibrary.org/obo/UBERON_0001054>	"Malpighian tubule"
<http://purl.obolibrary.org/obo/UBERON_0004117>	"pharyngeal pouch"
<http://purl.obolibrary.org/obo/UBERON_0007127>	"pharyngeal pouch 6"
<http://purl.obolibrary.org/obo/UBERON_0007126>	"pharyngeal pouch 5"
<http://purl.obolibrary.org/obo/UBERON_2001129>	"pharyngeal pouches 2-6"
<http://purl.obolibrary.org/obo/UBERON_0007123>	"pharyngeal pouch 2"
<http://purl.obolibrary.org/obo/UBERON_0007122>	"pharyngeal pouch 1"
<http://purl.obolibrary.org/obo/UBERON_0007125>	"pharyngeal pouch 4"
<http://purl.obolibrary.org/obo/UBERON_0007124>	"pharyngeal pouch 3"
<http://purl.obolibrary.org/obo/UBERON_2000975>	"somite 13"
<http://purl.obolibrary.org/obo/UBERON_0004820>	"bile duct epithelium"
<http://purl.obolibrary.org/obo/UBERON_0004823>	"intrahepatic bile duct epithelium"
<http://purl.obolibrary.org/obo/UBERON_2000857>	"somite 4"
<http://purl.obolibrary.org/obo/UBERON_0006914>	"squamous epithelium"
<http://purl.obolibrary.org/obo/UBERON_0006763>	"epithelium of conjunctiva"
<http://purl.obolibrary.org/obo/UBERON_0005750>	"glomerular parietal epithelium"
<http://purl.obolibrary.org/obo/UBERON_0002018>	"synovial membrane of synovial joint"
<http://purl.obolibrary.org/obo/UBERON_0001986>	"endothelium"
<http://purl.obolibrary.org/obo/UBERON_0004638>	"blood vessel endothelium"
<http://purl.obolibrary.org/obo/UBERON_0019189>	"carotid artery endothelium"
<http://purl.obolibrary.org/obo/UBERON_0004851>	"aorta endothelium"
<http://purl.obolibrary.org/obo/UBERON_0001281>	"hepatic sinusoid"
<http://purl.obolibrary.org/obo/UBERON_0001985>	"corneal endothelium"
<http://purl.obolibrary.org/obo/UBERON_0004189>	"glomerular endothelium"
<http://purl.obolibrary.org/obo/UBERON_0000451>	"prefrontal cortex"
<http://purl.obolibrary.org/obo/UBERON_0001869>	"cerebral hemisphere"
<http://purl.obolibrary.org/obo/UBERON_0001927>	"medial geniculate body"
<http://purl.obolibrary.org/obo/UBERON_0001460>	"arm"
<http://purl.obolibrary.org/obo/UBERON_0016540>	"occipital cortex"
<http://purl.obolibrary.org/obo/UBERON_0001015>	"musculature"
<http://www.ebi.ac.uk/efo/EFO_0000889>	"smooth muscle"
<http://www.ebi.ac.uk/efo/EFO_0002775>	"aorta smooth muscle"
<http://purl.obolibrary.org/obo/UBERON_0001135>	"smooth muscle tissue"
<http://purl.obolibrary.org/obo/UBERON_0006676>	"muscularis mucosa"
<http://purl.obolibrary.org/obo/UBERON_0004648>	"esophagus muscularis mucosa"
<http://purl.obolibrary.org/obo/UBERON_0002112>	"smooth muscle of esophagus"
<http://purl.obolibrary.org/obo/UBERON_2000648>	"dorsal fin musculature"
<http://purl.obolibrary.org/obo/UBERON_0001173>	"biliary tree"
<http://purl.obolibrary.org/obo/UBERON_0000045>	"ganglion"
<http://www.ebi.ac.uk/efo/EFO_0002691>	"retinal ganglion"
<http://www.ebi.ac.uk/efo/EFO_0000890>	"invertebrate ganglion"
<http://purl.obolibrary.org/obo/UBERON_0007134>	"trunk ganglion"
<http://purl.obolibrary.org/obo/UBERON_0001989>	"superior cervical ganglion"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"cranial ganglion"
<http://purl.obolibrary.org/obo/UBERON_0002827>	"vestibulocochlear ganglion"
<http://purl.obolibrary.org/obo/UBERON_0001700>	"geniculate ganglion"
<http://purl.obolibrary.org/obo/UBERON_2001302>	"vagal ganglion 1"
<http://purl.obolibrary.org/obo/UBERON_0005363>	"inferior vagus X ganglion"
<http://purl.obolibrary.org/obo/UBERON_0001675>	"trigeminal ganglion"
