?child	?label
<http://purl.obolibrary.org/obo/PO_0007022>	"seed imbibition stage"
<http://purl.obolibrary.org/obo/PO_0007015>	"radicle emergence"
<http://purl.obolibrary.org/obo/PO_0007017>	"sporophyte senescent stage"
<http://purl.obolibrary.org/obo/PO_0007006>	"IL.00 inflorescence just visible stage"
<http://purl.obolibrary.org/obo/PO_0007014>	"booting stage"
<http://purl.obolibrary.org/obo/PO_0007016>	"whole plant flowering stage"
<http://www.ebi.ac.uk/efo/EFO_0005793>	"FL.01 1/4 of flowers open stage"
<http://purl.obolibrary.org/obo/PO_0007053>	"FL.02 1/2 of flowers open stage"
<http://purl.obolibrary.org/obo/PO_0007026>	"FL.00 first flower(s) open stage"
<http://purl.obolibrary.org/obo/PO_0007024>	"FL.04 end of flowering stage"
<http://purl.obolibrary.org/obo/PO_0007631>	"plant embryo development stage"
<http://purl.obolibrary.org/obo/PO_0025502>	"fruit ripening stage"
<http://purl.obolibrary.org/obo/PO_0007615>	"flower development stage"
<http://purl.obolibrary.org/obo/PO_0025585>	"floral organ formation stage"
<http://purl.obolibrary.org/obo/PO_0007601>	"floral organ meristem development stage"
<http://purl.obolibrary.org/obo/PO_0007600>	"floral organ differentiation stage"
<http://purl.obolibrary.org/obo/PO_0007606>	"gynoecium development stage"
<http://purl.obolibrary.org/obo/PO_0007604>	"corolla development stage"
<http://purl.obolibrary.org/obo/PO_0007611>	"petal differentiation and expansion stage"
<http://purl.obolibrary.org/obo/PO_0007605>	"androecium development stage"
<http://purl.obolibrary.org/obo/PO_0007613>	"stamen primordium visible stage"
<http://purl.obolibrary.org/obo/PO_0007603>	"calyx development stage"
<http://purl.obolibrary.org/obo/PO_0007607>	"sepal primordium visible stage"
<http://purl.obolibrary.org/obo/PO_0007042>	"whole plant fruit formation stage"
<http://purl.obolibrary.org/obo/PO_0007029>	"whole plant fruit formation stage 30 to 50%"
<http://purl.obolibrary.org/obo/PO_0007027>	"whole plant fruit formation stage 70% to final size"
